# Units: length:mm angle:deg time:s strain:% 
# Stage: image-000001
stage;index;relative_time;date
"image-000001";2;1.0000;"2022-09-26T12:00:51.387"
# Name : Surface_xy
id;x;y;z;epsilon_x;epsilon_y
0;-4.5214;5.8229;0.0000;-0.0422;0.0935
1;-4.2092;5.8231;0.0000;-0.0371;0.0897
2;-3.8970;5.8233;0.0000;-0.0301;0.1063
3;-3.5848;5.8236;0.0000;-0.0239;0.1270
4;-3.2726;5.8238;0.0000;-0.0315;0.1161
5;-2.9603;5.8240;0.0000;-0.0311;0.1053
6;-2.6481;5.8242;0.0000;-0.0174;0.0985
7;-2.3358;5.8244;0.0000;-0.0269;0.0922
8;-2.0236;5.8245;0.0000;-0.0421;0.0768
9;-1.7115;5.8247;0.0000;-0.0366;0.0826
10;-1.3992;5.8250;0.0000;-0.0271;0.1052
11;-1.0870;5.8254;0.0000;-0.0261;0.1147
12;-0.7748;5.8255;0.0000;-0.0469;0.0921
13;-0.4626;5.8257;0.0000;-0.0293;0.0888
14;-0.1503;5.8260;0.0000;-0.0154;0.1146
15;0.1619;5.8263;0.0000;-0.0425;0.1133
16;0.4741;5.8265;0.0000;-0.0561;0.0992
17;0.7862;5.8268;0.0000;-0.0441;0.1255
18;1.0985;5.8271;0.0000;-0.0357;0.1312
19;1.4106;5.8274;0.0000;-0.0595;0.1283
20;1.7227;5.8276;0.0000;-0.0531;0.1075
21;2.0349;5.8278;0.0000;-0.0327;0.0951
22;2.3471;5.8281;0.0000;-0.0431;0.1194
23;2.6593;5.8282;0.0000;-0.0581;0.0804
24;2.9714;5.8285;0.0000;-0.0504;0.0747
25;3.2836;5.8289;0.0000;-0.0404;0.1036
26;3.5958;5.8292;0.0000;-0.0282;0.0891
27;3.8448;5.7201;0.0000;-0.0256;0.0703
28;3.8439;5.4076;0.0000;-0.0316;0.0932
29;3.8429;5.0949;0.0000;-0.0229;0.1008
30;3.8420;4.7823;0.0000;-0.0303;0.0808
31;3.8410;4.4698;0.0000;-0.0333;0.0659
32;3.8400;4.1572;0.0000;-0.0451;0.1069
33;3.8390;3.8445;0.0000;-0.0601;0.1308
34;3.8381;3.5318;0.0000;-0.0429;0.1236
35;3.8372;3.2191;0.0000;-0.0189;0.1364
36;3.8362;2.9063;0.0000;-0.0347;0.1501
37;3.8354;2.5936;0.0000;-0.0512;0.1420
38;3.8344;2.2808;0.0000;-0.0599;0.1425
39;3.8336;1.9680;0.0000;-0.0436;0.1373
40;3.8327;1.6553;0.0000;-0.0489;0.1255
41;3.8318;1.3426;0.0000;-0.0407;0.1299
42;3.8308;1.0299;0.0000;-0.0714;0.1163
43;3.8300;0.7172;0.0000;-0.0675;0.0853
44;3.8291;0.4047;0.0000;-0.0433;0.0887
45;3.8282;0.0920;0.0000;-0.0664;0.1136
46;3.8273;-0.2206;0.0000;-0.0804;0.0640
47;3.8265;-0.5330;0.0000;-0.0785;0.0703
48;3.8257;-0.8457;0.0000;-0.0622;0.0825
49;3.8248;-1.1582;0.0000;-0.0563;0.0539
50;3.8240;-1.4706;0.0000;-0.0598;0.0345
51;3.8232;-1.7830;0.0000;-0.0518;0.0313
52;3.8223;-2.0954;0.0000;-0.0641;0.0373
53;3.8215;-2.4079;0.0000;-0.0515;0.0505
54;3.8207;-2.7204;0.0000;-0.0270;0.0655
55;3.8198;-3.0329;0.0000;-0.0302;0.0503
56;3.8190;-3.3454;0.0000;-0.0319;0.0652
57;3.8182;-3.6579;0.0000;-0.0074;0.0716
58;3.8172;-3.9705;0.0000;-0.0221;0.0742
59;3.8163;-4.2830;0.0000;-0.0400;0.0745
60;3.8154;-4.5955;0.0000;-0.0973;0.0862
61;3.8146;-4.9082;0.0000;-0.0911;0.1248
62;3.8136;-5.2209;0.0000;-0.0792;0.1354
63;3.5483;-5.2933;0.0000;-0.0579;0.1312
64;3.2361;-5.2950;0.0000;-0.0340;0.1190
65;2.9239;-5.2966;0.0000;-0.0342;0.0848
66;2.6117;-5.2984;0.0000;-0.0358;0.1166
67;2.2995;-5.3001;0.0000;-0.0330;0.1444
68;1.9873;-5.3017;0.0000;-0.0385;0.1097
69;1.6751;-5.3034;0.0000;-0.0323;0.1028
70;1.3629;-5.3052;0.0000;-0.0253;0.1359
71;1.0506;-5.3069;0.0000;-0.0415;0.1310
72;0.7385;-5.3086;0.0000;-0.0552;0.1455
73;0.4264;-5.3104;0.0000;-0.0446;0.1581
74;0.1142;-5.3120;0.0000;-0.0465;0.1077
75;-0.1980;-5.3137;0.0000;-0.0469;0.0860
76;-0.5101;-5.3154;0.0000;-0.0367;0.0879
77;-0.8223;-5.3171;0.0000;-0.0368;0.0985
78;-1.1345;-5.3189;0.0000;-0.0402;0.1176
79;-1.4467;-5.3206;0.0000;-0.0517;0.1069
80;-1.7589;-5.3223;0.0000;-0.0319;0.1143
81;-2.0712;-5.3240;0.0000;-0.0109;0.1184
82;-2.3834;-5.3257;0.0000;-0.0266;0.1595
