eps_xx,eps_yy
-0.355900,-1.512600
0.195300,-1.394000
0.350800,-1.754500
-0.225200,-2.078000
-0.795800,-1.572200
0.660900,-1.805900
0.192500,-2.114400
0.057100,-2.145100
0.285200,-2.194300
0.238300,-2.090500
0.275100,-2.289400
0.238100,-2.447700
0.262800,-2.069300
0.695900,-1.825300
-0.173900,-2.509200
-0.787900,-2.591900
0.133600,-1.361600
0.261400,-1.317600
0.157700,-1.507200
0.270900,-1.861000
0.083800,-2.279800
0.112600,-2.178800
0.065500,-2.139400
0.047900,-2.161800
0.086700,-2.101100
0.008700,-1.746300
-0.013300,-1.430600
0.045700,-1.831400
0.211800,-1.628600
0.316500,-1.727300
0.198600,-1.985400
0.172100,-2.028400
0.144700,-2.042700
0.010200,-2.147500
0.153100,-2.150800
0.119000,-2.348900
0.036100,-2.484600
0.179200,-2.371000
0.416700,-2.216900
-0.086000,-2.262300
-0.181700,-2.058700
0.223800,-2.206600
0.231900,-2.460500
-0.009900,-2.228500
-0.058500,-2.218700
-0.015000,-2.210600
0.094600,-2.182700
0.271200,-2.083100
0.344400,-2.068100
0.046100,-2.123100
0.148900,-2.210700
0.094800,-2.249300
-0.005900,-2.072700
-0.118600,-1.604600
-0.219600,-1.608400
0.123100,-2.006900
0.318000,-1.787400
-0.023900,-1.368600
0.369700,-2.104700
0.388000,-2.298800
0.162900,-2.054000
0.113400,-1.881600
0.256800,-2.374800
0.356800,-2.316100
0.223200,-2.130100
0.158900,-2.135300
-0.015100,-2.029500
0.219100,-1.673400
0.208700,-1.606600
0.107500,-1.879000
0.171500,-1.888300
0.219000,-1.855100
-0.106000,-1.788200
0.313000,-1.569900
0.204400,-1.392600
-0.110600,-1.541700
0.011700,-1.576100
0.151000,-1.580700
0.149100,-1.722800
0.113000,-1.619200
0.008000,-1.769200
0.274800,-2.212000
0.101700,-1.920300
0.169100,-1.310700
-0.248400,-1.779600
-0.010400,-2.095500
0.128200,-2.083400
0.056200,-1.912600
-0.100100,-1.441800
0.019100,-1.485900
-0.003700,-1.749300
-0.006400,-1.936800
-0.160000,-2.085200
-0.668400,-2.145000
-0.571200,-2.215100
0.069500,-2.031200
-0.045100,-1.883500
-0.064000,-1.824000
-0.019500,-1.911500
0.000700,-2.358300
-0.058400,-2.516700
-0.095800,-2.436100
