eps_xx,eps_yy
0.184200,-0.974500
0.167700,-1.628800
0.065700,-1.846000
0.007400,-1.995200
0.144700,-2.162100
0.105100,-2.156600
-0.100700,-1.965700
-0.140400,-1.898400
-0.014500,-1.966400
0.180700,-2.170100
0.159500,-2.037900
0.057000,-1.216300
0.019100,-1.288900
-0.163000,-1.959300
0.191700,-2.014700
0.150900,-1.843400
0.019100,-1.800800
0.188400,-2.017400
0.120400,-2.191900
0.066300,-2.158000
0.055200,-1.997800
0.145700,-1.831400
0.339600,-1.694900
0.232500,-1.118200
0.303200,-1.010800
0.405100,-1.641500
0.426800,-1.612300
0.409300,-1.793400
0.363400,-2.017400
0.295200,-1.871100
0.364800,-1.802800
0.301200,-1.790400
0.251400,-1.666500
0.277800,-1.739300
0.284300,-1.879200
0.131600,-1.460100
0.004300,-1.247000
-0.035900,-1.759700
-0.006800,-1.845500
0.021800,-1.897700
0.041300,-2.070200
0.039300,-1.842400
-0.011200,-1.718200
-0.003200,-1.990300
-0.029500,-2.007300
0.009100,-1.715400
-0.022900,-1.762600
0.043600,-1.603500
0.002000,-0.956800
0.105400,-0.984400
0.126500,-0.990900
0.050900,-1.003400
0.146700,-1.541200
-0.073500,-1.600400
0.065300,-1.599400
0.148600,-1.577900
0.105000,-1.621200
0.066000,-1.658200
0.059800,-1.553800
0.081400,-1.470200
0.119300,-1.441500
0.182200,-1.388700
0.034900,-1.693500
0.085100,-1.643500
0.098500,-1.600900
0.038200,-1.602700
0.033500,-1.607500
0.058800,-1.575800
0.079100,-1.557000
0.120400,-1.568500
0.276400,-1.547800
0.073000,-1.794800
-0.005000,-1.805200
0.111500,-1.804100
0.104700,-1.834700
0.070400,-1.918200
0.152900,-1.916900
0.111200,-1.809500
0.067600,-1.757400
0.109600,-1.772000
0.013600,-1.788000
0.033700,-1.826700
0.097900,-1.845900
0.071100,-1.855700
0.044200,-1.873900
0.068600,-1.858800
0.084700,-1.815100
0.105900,-1.802200
0.266500,-1.738700
0.073000,-1.810500
0.041900,-1.807500
0.111500,-1.913700
0.134000,-2.004700
0.045900,-1.972400
0.142100,-1.920300
0.175000,-1.941900
0.076100,-1.938600
0.066600,-1.906900
0.045900,-1.891800
-0.010800,-1.702800
0.042700,-1.734200
0.075600,-1.766900
0.052600,-1.795600
0.056300,-1.805700
0.094900,-1.794900
0.119100,-1.764700
0.150900,-1.708800
0.335400,-1.648700
0.060200,-2.080200
0.120400,-2.177300
0.161200,-2.226000
0.074000,-2.171100
0.025900,-2.097700
0.135800,-2.144600
0.108900,-2.116400
0.070200,-2.015200
0.050200,-2.000600
-0.018700,-1.864800
0.018800,-1.882700
0.070500,-1.868100
0.055700,-1.870200
0.021900,-1.878700
0.039000,-1.899500
0.102500,-1.931800
0.144900,-1.939100
0.267900,-1.935400
0.047100,-2.215000
0.061600,-2.303000
0.092200,-2.335300
0.141200,-2.278700
0.111100,-2.180400
0.099200,-2.176100
0.061000,-2.203300
0.072100,-2.158000
0.042100,-2.107900
0.078800,-2.134300
-0.001200,-2.065900
0.062200,-2.051100
0.055200,-2.054100
0.033300,-2.044600
-0.015000,-2.007500
0.017400,-2.021800
0.098700,-2.078600
0.125600,-2.093100
0.270600,-2.063900
0.095600,-2.195800
0.043500,-2.208100
0.025300,-2.241300
0.104700,-2.203400
0.161600,-2.131100
0.126600,-2.107500
0.046200,-2.164900
0.030800,-2.200300
0.061300,-2.192200
-0.017900,-1.813400
0.026100,-1.846600
0.052400,-1.897600
0.058400,-1.890800
0.025300,-1.848400
-0.002100,-1.836900
0.049500,-1.861700
0.070500,-1.882900
0.165100,-1.867100
0.118400,-2.115700
0.029500,-2.145100
0.000000,-2.090000
0.034700,-2.104000
0.107500,-2.181800
0.147000,-2.131200
0.089600,-2.091700
0.013600,-2.123400
0.018400,-2.152600
0.029000,-2.080400
-0.016700,-1.714900
0.045300,-1.681100
0.092700,-1.635000
0.048300,-1.623900
-0.004800,-1.682700
0.014500,-1.746100
0.037500,-1.755000
0.066700,-1.727700
0.234500,-1.759200
0.065700,-1.919200
0.007100,-1.909300
-0.000200,-1.873500
0.113900,-1.889700
0.128000,-1.923400
0.089100,-1.935500
0.058700,-1.953800
0.022700,-1.940500
-0.023600,-1.893300
-0.119300,-1.877100
-0.007800,-1.939200
0.011200,-1.852700
0.095300,-1.796100
0.061100,-1.805700
-0.026300,-1.828700
0.000800,-1.850800
0.035100,-1.847600
0.058300,-1.821900
0.172400,-1.809800
0.082500,-1.717500
0.077600,-1.700900
-0.020600,-1.693300
-0.020200,-1.664100
0.124200,-1.617300
0.129100,-1.607600
0.109000,-1.686900
0.007000,-1.773400
-0.042500,-1.806500
-0.079100,-1.858700
0.012600,-1.998700
0.049100,-1.931200
0.042200,-1.969000
-0.026300,-1.994100
-0.016500,-1.957100
0.037800,-1.874400
0.048600,-1.788800
0.077300,-1.775400
0.212300,-1.769000
0.139200,-1.877300
0.062500,-1.870800
-0.075900,-1.864200
-0.056500,-1.842400
0.059800,-1.855300
0.165200,-1.857300
0.085800,-1.879700
-0.078100,-1.952900
-0.080300,-2.025000
0.029700,-2.076500
0.018400,-1.963500
-0.024400,-1.885400
-0.053300,-1.853500
-0.013700,-1.835100
-0.006700,-1.821500
0.025200,-1.775300
0.036100,-1.728700
0.051000,-1.706300
0.152400,-1.690100
0.044400,-2.178000
0.070400,-2.129600
-0.024800,-2.104400
-0.070100,-2.095700
-0.084100,-2.129900
0.030800,-2.196800
0.120900,-2.155600
-0.005500,-2.088100
-0.064700,-2.097600
0.043600,-2.156800
-0.010900,-1.851400
-0.103100,-1.910100
-0.060900,-1.888300
0.009900,-1.827000
0.045500,-1.805800
0.035200,-1.816500
0.011800,-1.837800
0.024700,-1.838300
0.186300,-1.846900
-0.034600,-1.935900
-0.006100,-1.902200
-0.052600,-1.882000
-0.119400,-1.935300
-0.079300,-1.979500
0.040400,-1.957600
0.053600,-1.916000
0.007700,-1.924200
0.006300,-1.962800
0.039200,-1.926100
-0.021200,-1.882600
-0.080100,-1.912500
-0.079100,-1.937100
-0.028200,-1.906000
0.019700,-1.890300
0.063400,-1.875800
-0.009600,-1.845400
-0.022500,-1.820800
0.097000,-1.784700
-0.070600,-1.203100
-0.049800,-1.159000
-0.053700,-1.236400
-0.063200,-1.286200
-0.092700,-1.303300
-0.030700,-1.312800
0.016800,-1.305300
0.045500,-1.289500
0.052900,-1.270900
-0.009600,-1.253500
-0.052600,-1.576900
-0.062200,-1.579000
-0.011700,-1.560200
-0.014300,-1.560600
0.026400,-1.540100
0.018500,-1.489100
-0.037700,-1.443100
-0.016800,-1.373500
0.059800,-1.253100
