stage,eps_xx_mean_in_mBtG,eps_yy_mean_in_mBtG,nu_yx_mean_in_mBtG,eps_xx_mean_out_mBtG,eps_yy_mean_out_mBtG,nu_yx_mean_out_mBtG
1,nan,nan,nan,0.000000,0.000000,nan
3,nan,nan,nan,0.003328,-0.001064,3.128876
5,nan,nan,nan,0.000781,-0.009654,0.080917
7,0.089346,-1.691594,0.052818,0.032614,-0.007593,4.295463
9,0.061746,-1.781628,0.034657,0.014849,-0.039307,0.377769
11,0.087321,-1.830527,0.047702,0.024899,-0.016542,1.505163
13,0.077854,-1.875824,0.041504,0.018066,-0.011921,1.515434
15,0.089134,-1.881044,0.047385,0.024208,-0.031621,0.765560
17,0.091046,-1.891085,0.048145,0.022266,-0.034659,0.642419
19,0.097247,-1.841225,0.052817,0.019189,-0.062943,0.304862
21,0.092290,-1.853090,0.049803,0.019786,-0.078650,0.251570
23,0.083952,-1.791594,0.046859,0.016079,-0.118223,0.136008
25,0.082589,-1.800469,0.045871,0.024997,-0.135759,0.184129
27,0.089974,-1.796574,0.050081,0.018123,-0.159486,0.113634
29,0.115584,-1.808966,0.063895,0.033602,-0.166278,0.202081
31,0.093755,-1.784062,0.052552,0.037322,-0.215499,0.173188
33,0.103094,-1.761527,0.058525,0.029895,-0.231756,0.128994
35,0.108992,-1.744700,0.062470,0.023541,-0.246692,0.095429
37,0.113852,-1.754135,0.064905,0.024815,-0.275223,0.090163
39,0.103084,-1.638015,0.062932,0.022331,-0.149874,0.148998
41,0.101488,-1.676203,0.060546,0.009388,-0.072230,0.129976
43,0.103339,-1.728693,0.059779,0.007829,-0.105733,0.074045
45,0.115153,-1.733435,0.066431,-0.001990,-0.117505,-0.016939
47,0.114012,-1.726594,0.066033,0.001088,-0.060552,0.017963
49,0.121310,-1.888647,0.064231,0.062201,-0.655086,0.094951
51,0.115831,-1.847774,0.062687,nan,nan,nan
53,0.140433,-1.999851,0.070222,nan,nan,nan
55,0.160894,-2.085747,0.077140,nan,nan,nan
57,0.180071,-2.216930,0.081225,nan,nan,nan
59,0.171516,-2.351252,0.072947,nan,nan,nan
61,0.194182,-2.504493,0.077533,nan,nan,nan
63,0.209852,-2.569119,0.081682,nan,nan,nan
65,0.218953,-2.679290,0.081720,nan,nan,nan
67,0.251161,-2.777170,0.090438,nan,nan,nan
69,0.253063,-2.871416,0.088132,nan,nan,nan
71,0.268179,-2.936409,0.091329,nan,nan,nan
73,0.291274,-3.049101,0.095528,nan,nan,nan
75,0.296189,-3.128311,0.094680,nan,nan,nan
77,0.322895,-3.238068,0.099718,nan,nan,nan
79,0.345630,-3.331953,0.103732,nan,nan,nan
81,0.361788,-3.423175,0.105688,nan,nan,nan
83,0.384596,-3.509042,0.109601,nan,nan,nan
85,0.406201,-3.595829,0.112964,nan,nan,nan
87,0.411255,-3.686077,0.111570,nan,nan,nan
89,0.424859,-3.775578,0.112528,nan,nan,nan
91,0.459300,-3.856525,0.119097,nan,nan,nan
93,0.474205,-3.954709,0.119909,nan,nan,nan
95,0.478462,-4.031068,0.118694,nan,nan,nan
97,0.506268,-4.140838,0.122262,nan,nan,nan
99,0.525672,-4.243676,0.123872,nan,nan,nan
