stage,eps_zz_mean_in_mBtG,eps_yy_mean_in_mBtG,nu_yz_mean_in_mBtG,eps_zz_mean_out_mBtG,eps_yy_mean_out_mBtG,nu_yz_mean_out_mBtG
1,nan,nan,nan,0.000000,0.000000,nan
3,nan,nan,nan,0.003248,-0.007938,0.409121
5,nan,nan,nan,0.003912,-0.003382,1.156718
7,1.552207,-1.673002,0.927797,0.023122,-0.041540,0.556620
9,1.615242,-1.746386,0.924905,0.027979,-0.041259,0.678131
11,1.659579,-1.798613,0.922700,0.030093,-0.043726,0.688212
13,1.675943,-1.823549,0.919056,0.027718,-0.042901,0.646102
15,1.717078,-1.863147,0.921601,0.028503,-0.044095,0.646398
17,1.755696,-1.899876,0.924111,0.035095,-0.042979,0.816560
19,1.780272,-1.930681,0.922095,0.041917,-0.047818,0.876588
21,1.805612,-1.949631,0.926130,0.040943,-0.051023,0.802444
23,1.773022,-1.910280,0.928148,0.069332,-0.081046,0.855467
25,1.785937,-1.928637,0.926010,0.079046,-0.089830,0.879953
27,1.795117,-1.934664,0.927870,0.074469,-0.089069,0.836083
29,1.815592,-1.952259,0.929996,0.083581,-0.092717,0.901465
31,1.801889,-1.938690,0.929437,0.118095,-0.134594,0.877418
33,1.818239,-1.943992,0.935312,0.119096,-0.137557,0.865793
35,1.823514,-1.957057,0.931763,0.133384,-0.143939,0.926669
37,1.831155,-1.964250,0.932241,0.136780,-0.155282,0.880853
39,1.846153,-1.975389,0.934577,0.145714,-0.161087,0.904567
41,1.856884,-1.985298,0.935317,0.148642,-0.167540,0.887204
43,1.874250,-2.006876,0.933914,0.135271,-0.150378,0.899542
45,1.879813,-2.013072,0.933804,0.139667,-0.155497,0.898198
47,1.879400,-2.013304,0.933490,0.156353,-0.164590,0.949955
49,1.863034,-1.991228,0.935621,0.365038,-0.393478,0.927721
51,1.933990,-2.060642,0.938538,0.625640,-0.652183,0.959301
53,1.945641,-2.082905,0.934100,nan,nan,nan
55,2.048819,-2.191188,0.935027,nan,nan,nan
57,2.147420,-2.305003,0.931634,nan,nan,nan
59,2.269553,-2.432929,0.932848,nan,nan,nan
61,2.375028,-2.557652,0.928597,nan,nan,nan
63,2.446740,-2.634274,0.928810,nan,nan,nan
65,2.527287,-2.724613,0.927577,nan,nan,nan
67,2.608974,-2.817493,0.925991,nan,nan,nan
69,2.679710,-2.895599,0.925443,nan,nan,nan
71,2.752043,-2.972151,0.925943,nan,nan,nan
73,2.852773,-3.086895,0.924156,nan,nan,nan
75,2.929872,-3.176885,0.922247,nan,nan,nan
77,3.020536,-3.280457,0.920767,nan,nan,nan
79,3.119817,-3.390399,0.920192,nan,nan,nan
81,3.202341,-3.483164,0.919377,nan,nan,nan
83,3.276717,-3.570133,0.917814,nan,nan,nan
85,3.361001,-3.660282,0.918236,nan,nan,nan
87,3.427166,-3.738877,0.916630,nan,nan,nan
89,3.516164,-3.836944,0.916397,nan,nan,nan
91,3.590298,-3.923626,0.915046,nan,nan,nan
93,3.679346,-4.019920,0.915279,nan,nan,nan
95,3.745780,-4.099351,0.913749,nan,nan,nan
97,3.840107,-4.205561,0.913102,nan,nan,nan
99,3.932436,-4.314424,0.911463,nan,nan,nan
