eps_xx,eps_yy
1.192000,-1.418100
1.464100,-1.858200
1.779600,-2.211300
2.008600,-2.298300
1.983500,-2.089400
1.740900,-1.948300
1.516800,-1.890800
1.726300,-1.892600
2.000700,-1.996900
2.121300,-2.223100
2.048500,-2.072800
2.001800,-1.928500
2.217600,-2.161700
2.285300,-2.271200
2.358600,-2.392400
2.452200,-2.284400
2.376700,-2.210300
2.237400,-2.186000
2.289200,-2.173600
2.272800,-2.162400
2.192900,-2.229000
2.218600,-2.285700
2.179000,-2.218400
2.123300,-2.201400
2.228300,-2.230200
2.238900,-2.236200
2.206900,-2.246300
2.222600,-2.243700
2.187700,-2.286000
2.242600,-2.232200
2.307100,-2.184500
2.276900,-2.253100
2.275200,-2.312600
2.277500,-2.341300
2.429300,-2.414900
2.354000,-2.394400
2.154200,-2.316100
2.171800,-2.279300
2.291000,-2.320700
2.176200,-2.389600
2.152300,-2.302800
2.386200,-2.319600
2.371500,-2.358400
2.395800,-2.348300
2.286200,-2.271900
2.064100,-2.151700
2.156400,-2.152100
2.052100,-2.141200
2.230300,-2.201100
2.465700,-2.226900
2.244100,-2.301900
2.191500,-2.299700
2.235700,-2.280200
2.447400,-2.254400
2.637800,-2.528400
2.655200,-2.654400
2.579400,-2.646500
2.292700,-2.506800
1.982700,-2.325700
2.021000,-2.345900
1.946000,-2.237200
1.886700,-2.129100
1.892600,-2.116800
1.849200,-2.201500
1.802900,-2.265600
2.044100,-2.352000
2.442600,-2.340000
2.617000,-2.676700
2.175300,-2.447400
1.901500,-2.220800
2.021500,-2.154400
2.072900,-2.250300
1.965200,-2.107700
1.906600,-2.076100
2.002300,-2.033900
1.954100,-1.989400
2.043200,-1.974000
2.007600,-1.900000
1.939400,-1.913000
2.075600,-2.076300
2.243100,-2.250800
2.536300,-2.355100
2.902900,-2.698000
2.896000,-2.992800
2.551600,-2.847400
2.260300,-2.650200
2.272900,-2.214500
1.940000,-2.280200
1.536400,-2.189200
1.679900,-1.661700
1.828500,-1.694200
1.841000,-1.899900
1.617900,-2.008200
1.587300,-1.924000
1.623000,-1.881200
1.647600,-1.995900
1.609600,-1.789700
1.494100,-1.690800
1.596800,-1.733800
1.554100,-1.777500
1.552300,-1.869700
1.516200,-1.945500
1.608100,-1.932400
1.639400,-1.968200
1.722100,-2.091100
2.053400,-2.218000
1.814300,-2.078900
1.714100,-1.928400
1.629800,-1.876300
1.428400,-1.846800
1.514300,-1.797800
1.605500,-1.918900
1.675800,-2.003800
1.704700,-2.005800
1.718800,-2.020700
1.740700,-2.133100
1.751300,-2.099600
1.809500,-2.116700
1.658300,-1.980700
1.746500,-1.981600
1.812000,-2.118400
1.767500,-2.097200
1.651700,-2.074900
1.638800,-2.044700
1.723200,-2.103000
1.617500,-2.088800
1.690200,-2.146400
1.713800,-2.264300
1.648300,-2.241800
1.672400,-2.107900
1.706100,-2.151600
1.665400,-2.228100
1.604500,-2.167300
1.656600,-2.171500
1.464500,-2.000700
1.387200,-1.860500
1.429800,-2.004700
1.706500,-2.380600
1.677000,-2.114400
1.705900,-2.164200
1.583500,-2.248400
1.655300,-2.094800
1.631900,-2.020500
1.781600,-1.902900
1.708000,-1.811900
1.783000,-1.970700
1.922400,-2.082600
1.949200,-2.149500
1.841800,-2.118100
1.969800,-2.190000
2.029100,-2.162000
1.929400,-1.989700
1.929400,-1.835600
1.867200,-1.842800
1.722100,-1.747900
1.606200,-1.800700
1.714900,-1.859200
1.771100,-1.902500
1.952800,-1.843400
1.862900,-1.589000
1.502600,-1.284000
1.211500,-1.154000
1.704700,-1.552500
1.789800,-1.538200
1.587200,-1.185700
1.566500,-1.596100
1.918100,-1.791200
1.941600,-1.865700
2.110600,-2.016200
2.115900,-2.101400
2.166200,-2.009400
2.286200,-2.066700
2.317500,-2.061400
2.281800,-1.983400
2.089700,-1.950100
1.479100,-1.347400
1.275900,-1.589900
1.254300,-1.308900
1.347100,-1.316800
1.624600,-1.997700
1.754800,-1.945900
1.706500,-1.797800
1.629800,-2.140600
1.588600,-2.052100
1.703800,-1.626900
1.950900,-1.502700
1.837600,-1.742300
1.918900,-1.946600
1.966800,-2.099800
2.037500,-1.977600
1.941300,-1.971800
1.795100,-1.932100
1.783000,-1.944300
1.879600,-2.086900
2.072800,-2.234800
2.006800,-2.143900
1.754000,-1.919900
1.649500,-1.835300
1.331900,-1.562100
1.134700,-1.541400
1.394800,-1.642600
1.653800,-1.760600
1.572500,-1.937400
1.676700,-1.841300
1.456200,-1.648800
1.385500,-1.616100
1.500600,-1.584500
1.378900,-1.240900
1.767300,-1.936700
1.842600,-1.948200
1.920600,-2.041800
1.875900,-1.986600
1.813100,-1.910800
1.838100,-1.822800
1.921600,-1.883400
1.941200,-1.847200
1.788600,-1.832700
1.740300,-1.773500
1.723700,-1.633700
1.694700,-1.731300
1.642400,-1.753200
1.432700,-1.715800
1.233700,-1.239300
1.270100,-1.346500
2.074800,-1.905300
2.116800,-1.967300
2.198200,-2.058800
2.085100,-2.017000
1.903400,-1.918400
1.997400,-1.983800
2.089000,-2.142300
2.162000,-2.109700
2.104200,-2.064300
2.048700,-2.030400
