eps_xx,eps_yy
0.899000,-1.125200
1.316100,-1.516500
1.509800,-1.855600
1.760400,-1.983800
1.727900,-1.820800
1.497400,-1.772100
1.547800,-1.793700
1.851000,-1.941000
2.010000,-2.100800
1.967000,-1.999200
2.031200,-2.067600
2.150800,-2.196400
2.144300,-2.162200
2.067000,-2.134300
2.027200,-2.047900
2.013300,-2.048700
2.034800,-2.098300
2.016000,-2.084700
1.897600,-2.024900
1.886300,-2.011300
1.918800,-2.044600
1.930500,-2.016100
1.901100,-1.964600
1.860800,-1.828800
1.524300,-1.321500
1.093300,-1.095700
1.123500,-1.391400
1.755800,-1.857200
1.600300,-1.900300
1.603500,-1.962200
1.576100,-1.861000
1.442500,-1.775600
1.644200,-1.950600
1.842100,-2.069600
1.875200,-1.977900
1.791800,-1.939100
1.660800,-1.884300
1.653000,-1.769600
1.550300,-1.717000
1.598000,-1.858600
1.802200,-1.962200
1.823900,-2.023000
1.738300,-1.925400
1.788400,-1.791500
1.739700,-1.692000
1.606600,-1.666300
1.537000,-1.597800
1.539000,-1.664200
1.682300,-1.629100
1.462800,-1.237100
1.214900,-0.840400
1.338000,-1.354200
1.492300,-1.737200
1.626300,-1.921900
1.772000,-1.913800
1.592600,-1.813900
1.470900,-1.790800
1.676300,-1.874400
1.984100,-2.014300
2.046400,-2.053500
2.002400,-2.041700
2.098000,-2.113900
1.446900,-1.400900
1.607900,-1.732800
1.494600,-1.858400
1.645400,-1.884200
1.675700,-1.842300
1.518000,-1.829700
1.567600,-1.861800
1.848200,-1.946900
2.059300,-2.047700
2.061200,-2.079300
2.032400,-2.096700
2.081400,-2.135900
1.479800,-1.382700
1.737700,-1.715000
1.516500,-1.778400
1.484100,-1.798600
1.662900,-1.840100
1.600400,-1.871500
1.552700,-1.881900
1.748100,-1.916400
1.985500,-1.972000
2.071400,-2.027600
2.040700,-2.056800
2.007100,-2.070100
2.024200,-2.080800
1.667200,-1.564000
1.777600,-1.650600
1.629500,-1.723000
1.414500,-1.788300
1.557100,-1.853200
1.677600,-1.897100
1.561800,-1.907200
1.647200,-1.912400
1.926700,-1.955200
2.039800,-1.986400
2.020600,-1.970800
1.967600,-1.978400
1.983800,-2.017100
1.711300,-1.678000
1.708800,-1.707300
1.506200,-1.801200
1.436600,-1.885900
1.671200,-1.899000
1.665900,-1.914100
1.562600,-1.940400
1.794900,-1.941200
1.981200,-1.957800
1.974200,-1.960800
1.967100,-1.956300
1.955400,-2.007000
1.995500,-2.055500
1.651500,-1.676200
1.729300,-1.720600
1.647200,-1.812700
1.431100,-1.883300
1.534800,-1.885100
1.730800,-1.894200
1.603700,-1.938500
1.661300,-1.977200
1.916000,-1.950500
1.915700,-1.915800
1.928300,-1.955700
1.974000,-2.012800
1.996300,-2.054800
1.669700,-1.682100
1.761600,-1.846300
1.583300,-1.919200
1.459800,-1.901200
1.628400,-1.855900
1.665500,-1.877600
1.577600,-1.974500
1.786500,-2.019000
1.911600,-1.949900
1.898300,-1.924100
1.982700,-1.989700
1.997100,-2.026500
1.974900,-2.036200
1.738900,-1.850300
1.742500,-1.967600
1.544800,-1.949900
1.512100,-1.870500
1.638300,-1.826600
1.600900,-1.890300
1.607500,-1.965800
1.832400,-1.959100
1.935500,-1.945200
1.991600,-1.971700
1.999600,-1.999000
1.935300,-2.014900
1.722700,-1.782000
1.813900,-1.899100
1.658300,-1.929300
1.501500,-1.871500
1.582700,-1.846400
1.647500,-1.857800
1.514300,-1.869300
1.614800,-1.890900
1.908000,-1.942400
2.043800,-2.002800
2.051700,-2.019600
1.957900,-2.007900
1.894000,-1.995000
1.800200,-1.803000
1.704700,-1.842400
1.513100,-1.800900
1.519400,-1.798200
1.660000,-1.833600
1.558500,-1.816800
1.479200,-1.830500
1.766800,-1.920100
2.022200,-2.011800
2.076900,-2.039300
2.017900,-2.017500
1.906700,-2.019600
1.804300,-1.842900
1.716600,-1.788600
1.502700,-1.717600
1.437700,-1.701900
1.619400,-1.745700
1.633400,-1.773100
1.467000,-1.800400
1.616900,-1.875000
1.950900,-1.958500
2.074900,-2.005900
2.049400,-2.003800
1.933700,-2.009700
1.889600,-2.032400
1.767500,-1.865500
1.561600,-1.727700
1.352200,-1.657200
1.472300,-1.689100
1.694100,-1.737100
1.564700,-1.789100
1.529100,-1.869900
1.832000,-1.942500
2.032000,-1.960000
2.018400,-1.947500
1.940100,-1.957000
1.887400,-1.980400
1.818800,-1.979700
1.676500,-1.836700
1.406400,-1.703100
1.345500,-1.704200
1.614300,-1.750000
1.658100,-1.783600
1.549300,-1.866100
1.717500,-1.951100
1.967400,-1.968400
1.990600,-1.932800
1.946200,-1.920200
1.894700,-1.922100
1.872500,-1.914900
1.728500,-1.866400
1.531400,-1.742100
1.360200,-1.725000
1.477500,-1.740800
1.669100,-1.784800
1.623200,-1.884200
1.667500,-1.954300
1.877700,-1.958900
1.970800,-1.917000
1.953400,-1.902900
1.911400,-1.918100
1.863200,-1.886400
1.645100,-1.832900
1.608900,-1.784400
1.473500,-1.783100
1.390100,-1.771500
1.565300,-1.785600
1.708900,-1.892900
1.676900,-1.954400
1.782100,-1.931500
1.914600,-1.887600
1.964200,-1.858300
1.958900,-1.873700
1.862100,-1.852800
1.561000,-1.542300
1.615600,-1.756800
1.591800,-1.836900
1.437000,-1.871000
1.452000,-1.871600
1.692800,-1.901800
1.705500,-1.940300
1.699900,-1.920900
1.859700,-1.872600
1.959400,-1.849900
1.992800,-1.851200
1.845300,-1.776000
1.413700,-1.507700
1.632000,-1.749300
1.668300,-1.805700
1.555400,-1.916900
1.484300,-2.000500
1.633500,-1.984200
1.701500,-1.921700
1.616700,-1.871900
1.752700,-1.851900
1.920500,-1.888500
1.968700,-1.891000
1.821900,-1.710700
1.344800,-1.260300
1.706400,-1.864400
1.742200,-1.952400
1.601200,-2.050900
1.579200,-2.053400
1.656200,-1.938700
1.562200,-1.824100
1.625700,-1.800600
1.852100,-1.864600
1.900600,-1.890600
1.692900,-1.636100
1.129500,-1.091000
1.730700,-1.972300
1.879500,-2.004600
1.753600,-2.015700
1.566300,-1.989600
1.585900,-1.909600
1.555200,-1.806900
1.537900,-1.783600
1.739100,-1.832500
1.842200,-1.785600
1.526100,-1.470500
0.953000,-0.880200
1.862600,-1.995900
1.855400,-1.988800
1.579600,-1.885500
1.518100,-1.808200
1.571000,-1.786300
1.513100,-1.801700
1.621500,-1.841500
1.744000,-1.736700
1.392400,-1.287100
1.831500,-1.993900
1.842300,-1.961000
1.616800,-1.833400
1.453100,-1.716800
1.563300,-1.719500
1.599100,-1.811700
1.526400,-1.843100
1.514500,-1.624800
1.232100,-1.099100
1.784800,-1.907000
1.672800,-1.776000
1.467800,-1.733800
1.509600,-1.743800
1.679400,-1.823800
1.561400,-1.823400
1.271500,-1.518700
0.952000,-0.918100
1.719400,-1.904400
1.649100,-1.782200
1.574900,-1.808400
1.540700,-1.850300
1.661600,-1.856700
1.581500,-1.765400
1.098700,-1.353700
1.589200,-1.825300
1.673800,-1.890700
1.621400,-1.928900
1.612200,-1.875500
1.510700,-1.642600
0.984100,-1.133100
1.533900,-1.865900
1.721200,-1.942100
1.720000,-1.946800
1.564700,-1.824700
1.324000,-1.511600
1.674600,-1.986100
1.757200,-1.959600
1.530500,-1.725400
1.111200,-1.296900
1.663000,-1.979800
1.734800,-1.923700
1.454600,-1.607700
0.946000,-1.074600
1.599400,-1.769700
1.336500,-1.411600
1.455000,-1.695000
1.107500,-1.188400
0.892100,-0.985200
