Index;Surface_xy.min(epsX) [%];Surface_xy.max(epsX) [%];Surface_xy.avg(epsX) [%];Surface_xy.min(epsY) [%];Surface_xy.max(epsY) [%];Surface_xy.avg(epsY) [%];Surface_xy.min(patQ) [];Surface_xy.max(patQ) [];Surface_xy.avg(patQ) []
1;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;3.205955;6.614419;5.348156
2;-0.097316;0.002670;-0.041399;0.019669;0.198710;0.087644;3.230807;6.715551;5.355775
3;-0.059640;0.035129;-0.013905;-0.056910;0.058305;0.000029;3.274852;6.625246;5.352783
4;-0.127709;-0.003476;-0.059110;0.141142;0.297987;0.205254;3.182579;6.644931;5.338272
5;-0.060153;0.067954;-0.009616;-0.050728;0.087832;0.010494;3.229331;6.718258;5.346302
6;-0.147734;-0.031746;-0.090182;0.179493;0.380221;0.294397;3.247539;6.603100;5.340001
7;-0.052561;0.043297;-0.013697;-0.043613;0.100193;0.023470;3.224163;6.593750;5.344112
8;-0.219936;-0.070626;-0.123139;0.304688;0.497758;0.398091;3.168061;6.669291;5.347774
9;-0.071686;0.037599;-0.018421;-0.044496;0.091051;0.025949;3.247047;6.643455;5.351322
10;-0.241270;-0.073822;-0.142489;0.400393;0.594096;0.488904;3.233022;6.597195;5.339003
11;-0.086044;0.025283;-0.023144;-0.027657;0.181031;0.076544;3.265010;6.660187;5.338801
12;-0.265979;-0.096644;-0.175479;0.457482;0.742942;0.609580;3.176181;6.544538;5.324177
13;-0.090563;0.013983;-0.041416;0.047141;0.229345;0.141485;3.232283;6.674951;5.325353
14;-0.285847;-0.140577;-0.210612;0.539341;0.920993;0.708753;3.224902;6.631890;5.325332
15;-0.164073;-0.031511;-0.096266;0.109028;0.391231;0.208211;3.220226;6.638041;5.334401
16;-0.350794;-0.173317;-0.260943;0.604641;1.062338;0.835058;3.202756;6.726870;5.319053
17;-0.219905;-0.050130;-0.131264;0.176739;0.521254;0.306529;3.222195;6.657726;5.332195
18;-0.388992;-0.191882;-0.292334;0.736735;1.197516;0.942326;3.218996;6.650098;5.304743
19;-0.282364;-0.088424;-0.170389;0.247688;0.597120;0.396363;3.224902;6.544538;5.325089
20;-0.469029;-0.253355;-0.354083;0.786151;1.293384;1.033915;3.237943;6.628691;5.313594
21;-0.331514;-0.135361;-0.220367;0.286914;0.703597;0.487232;3.176427;6.633366;5.319757
22;-0.566768;-0.302678;-0.417781;0.937031;1.430232;1.153349;3.260089;6.547490;5.306421
23;-0.398967;-0.171894;-0.279373;0.369477;0.806587;0.571537;3.181348;6.628199;5.323342
24;-0.599045;-0.323684;-0.472017;0.985705;1.528608;1.246245;3.250984;6.678642;5.309708
25;-0.454090;-0.215346;-0.329002;0.472164;0.927865;0.680553;3.235482;6.599656;5.309366
26;-0.687080;-0.400979;-0.530020;1.111340;1.617609;1.347255;3.189715;6.683809;5.304277
27;-0.506170;-0.255782;-0.377621;0.543523;1.002130;0.769306;3.192667;6.668061;5.311428
28;-0.774460;-0.427909;-0.590585;1.131809;1.750320;1.444247;3.161663;6.630167;5.303050
29;-0.575446;-0.314886;-0.433506;0.613870;1.139654;0.869417;3.193406;6.672244;5.312507
30;-0.820956;-0.493731;-0.633146;1.286971;1.909731;1.565178;3.192421;6.595718;5.285510
31;-0.624309;-0.366362;-0.493053;0.722103;1.260018;0.974560;3.160679;6.658464;5.304513
32;-0.896215;-0.558431;-0.704075;1.283740;1.992874;1.660494;3.195374;6.602116;5.290500
33;-0.716122;-0.419503;-0.553638;0.788228;1.396355;1.077138;3.228839;6.620325;5.296447
34;-0.935093;-0.604957;-0.751927;1.439547;2.128872;1.773072;3.187992;6.551181;5.278882
35;-0.772579;-0.452834;-0.594259;0.892512;1.482558;1.169201;3.215797;6.596210;5.291950
36;-1.041401;-0.669600;-0.828558;1.507246;2.254260;1.862662;3.181594;6.568160;5.278139
37;-0.817833;-0.481800;-0.646768;0.924530;1.610510;1.261350;3.204970;6.555610;5.288707
38;-1.096234;-0.713379;-0.890159;1.546664;2.344606;1.958322;3.242618;6.614666;5.282575
39;-0.918923;-0.570252;-0.724325;1.035214;1.731875;1.365153;3.193159;6.569390;5.288589
40;-1.146191;-0.753987;-0.931288;1.709193;2.539088;2.090819;3.159203;6.602116;5.252863
41;-0.984406;-0.594437;-0.769900;1.120632;1.864743;1.471848;3.218258;6.610482;5.280063
42;-1.214356;-0.824847;-1.003393;1.730821;2.581622;2.162936;3.191929;6.542815;5.269238
43;-1.052267;-0.650637;-0.838693;1.244612;2.016960;1.586191;3.234498;6.586122;5.271640
44;-1.283098;-0.871173;-1.055516;1.807865;2.745650;2.289212;3.186762;6.521900;5.260606
45;-1.116108;-0.697712;-0.890649;1.269219;2.079648;1.660681;3.194882;6.580955;5.276174
46;-1.351316;-0.917391;-1.112829;1.927051;2.865649;2.387099;3.195620;6.617864;5.254808
47;-1.168391;-0.715214;-0.952203;1.363338;2.211344;1.774978;3.210138;6.539616;5.258481
48;-1.468760;-0.999137;-1.178219;2.024756;2.976681;2.496642;3.208169;6.451526;5.253113
49;-1.256002;-0.782687;-1.012183;1.459370;2.313221;1.868687;3.228839;6.551673;5.268294
50;-1.517964;-1.034498;-1.236701;2.148291;3.140369;2.603167;3.147638;6.464567;5.237159
51;-1.320154;-0.851578;-1.072936;1.531491;2.469789;1.978267;3.224902;6.471457;5.258863
52;-1.565775;-1.093893;-1.307096;2.245830;3.273192;2.708421;3.199803;6.550689;5.235254
53;-1.418729;-0.915658;-1.133555;1.613505;2.563316;2.069341;3.204232;6.589075;5.259881
54;-1.655964;-1.143128;-1.368652;2.303813;3.358786;2.805761;3.178888;6.535925;5.239651
55;-1.487952;-0.941395;-1.199778;1.722381;2.680219;2.164658;3.161663;6.591536;5.262381
56;-1.709449;-1.211239;-1.428758;2.384242;3.479407;2.913799;3.215059;6.489912;5.237575
57;-1.573431;-1.040308;-1.264242;1.757117;2.776031;2.262994;3.225886;6.457431;5.256160
58;-1.778364;-1.222211;-1.488965;2.428445;3.571230;2.992986;3.175689;6.475886;5.231198
59;-1.612336;-1.108830;-1.315588;1.903987;2.929986;2.374990;3.231545;6.520177;5.241708
60;-1.872777;-1.326444;-1.565111;2.533349;3.703840;3.103353;3.163632;6.444882;5.230740
61;-1.682378;-1.167988;-1.385525;1.891181;3.033596;2.462641;3.200295;6.530020;5.247149
62;-1.945434;-1.378215;-1.625868;2.641033;3.841561;3.212913;3.142470;6.548720;5.229141
63;-1.769766;-1.189802;-1.451133;2.066860;3.156849;2.572621;3.222933;6.519685;5.239116
64;-2.010513;-1.395686;-1.688960;2.727317;3.963058;3.306777;3.083907;6.493110;5.227330
65;-1.818177;-1.266692;-1.513451;2.126692;3.280358;2.669684;3.161171;6.493602;5.238239
66;-2.069092;-1.475664;-1.750817;2.798434;4.092272;3.415424;3.077510;6.587352;5.220809
67;-1.893561;-1.329028;-1.573938;2.195720;3.376122;2.757239;3.127707;6.601378;5.240001
68;-2.155350;-1.524053;-1.815085;2.913518;4.232440;3.525143;3.147392;6.537402;5.218369
69;-1.966531;-1.375980;-1.634405;2.269308;3.493880;2.859544;3.175935;6.510334;5.235245
70;-2.209173;-1.585473;-1.887799;2.956028;4.313641;3.610207;3.147392;6.577018;5.217968
71;-2.059491;-1.453540;-1.715821;2.351891;3.662677;2.975743;3.164862;6.458416;5.218174
72;-2.295150;-1.606194;-1.944254;3.080078;4.436663;3.717508;3.154528;6.475394;5.213559
73;-2.112227;-1.493667;-1.766057;2.407417;3.758013;3.073879;3.229331;6.409449;5.214635
74;-2.390085;-1.680971;-1.997357;3.162309;4.559262;3.836719;3.130659;6.455955;5.199810
75;-2.198847;-1.550937;-1.839750;2.532993;3.873783;3.177487;3.199557;6.472933;5.216634
76;-2.444860;-1.755980;-2.065895;3.277524;4.679381;3.939896;3.119094;6.399852;5.191982
77;-2.256068;-1.593779;-1.909758;2.616654;3.989170;3.262894;3.174951;6.563730;5.223463
78;-2.524285;-1.812767;-2.135132;3.324842;4.779407;4.037145;3.133858;6.432825;5.196978
79;-2.340894;-1.653918;-1.957434;2.709995;4.125035;3.367111;3.203494;6.417569;5.217815
80;-2.607893;-1.886921;-2.207955;3.419981;4.918507;4.141357;3.142224;6.471703;5.191348
81;-2.422336;-1.740591;-2.030985;2.751468;4.208571;3.462915;3.133120;6.531004;5.217486
82;-2.676969;-1.947317;-2.272721;3.507063;5.056467;4.249824;3.176919;6.414862;5.194381
83;-2.485543;-1.763678;-2.099862;2.845089;4.337687;3.572223;3.126722;6.537648;5.210123
84;-2.730737;-2.022100;-2.343535;3.584370;5.194879;4.346262;3.167569;6.449803;5.190067
85;-2.569889;-1.838341;-2.153313;2.919231;4.435664;3.681092;3.194882;6.523376;5.208803
86;-2.800293;-2.027859;-2.386128;3.671263;5.292706;4.457889;3.125000;6.367618;5.181483
87;-2.615380;-1.878879;-2.206671;3.077052;4.574961;3.772682;3.155020;6.524114;5.207121
88;-2.903572;-2.126769;-2.473251;3.801096;5.452231;4.559383;3.131398;6.429626;5.186244
89;-2.678324;-1.937389;-2.269012;3.139386;4.702850;3.881917;3.149606;6.437992;5.206925
90;-2.969135;-2.181965;-2.535152;3.862719;5.552131;4.655277;3.140502;6.458662;5.189234
91;-2.764124;-2.007781;-2.349404;3.228056;4.820343;3.976858;3.152559;6.457677;5.209109
92;-3.028350;-2.213959;-2.597281;3.963784;5.687949;4.758114;3.133612;6.474410;5.177734
93;-2.840083;-2.048079;-2.414649;3.303819;4.971745;4.092267;3.146407;6.545276;5.192087
94;-3.115006;-2.278511;-2.666781;4.068960;5.844714;4.877414;3.142224;6.413140;5.176336
95;-2.918386;-2.117237;-2.482956;3.422520;5.095555;4.187076;3.176919;6.459154;5.191570
96;-3.164382;-2.318330;-2.725674;4.158366;5.957099;4.965743;3.097933;6.394193;5.170045
97;-2.992569;-2.169578;-2.547299;3.441714;5.206926;4.270639;3.168061;6.498770;5.188898
98;-3.263638;-2.412736;-2.802074;4.260433;6.106939;5.074921;3.137303;6.460630;5.174206
99;-3.076269;-2.245287;-2.605708;3.558360;5.359924;4.391425;3.153051;6.400344;5.183939
100;-3.350599;-2.481528;-2.862094;4.334415;6.195914;5.167185;3.115650;6.401083;5.169023
101;-3.140543;-2.276732;-2.671763;3.663142;5.489399;4.490730;3.134843;6.393455;5.181486
