# Units: length:mm angle:deg time:s strain:% 
# Stage: image-000091
stage;index;relative_time;date
"image-000091";92;91.0000;"2022-09-26T12:02:21.387"
# Name : Surface_xy
id;x;y;z;epsilon_x;epsilon_y
0;-4.4130;5.2728;0.0000;-2.6457;4.2991
1;-4.1088;5.2726;0.0000;-2.5698;4.3242
2;-3.8044;5.2726;0.0000;-2.4620;4.5960
3;-3.4994;5.2724;0.0000;-2.3124;4.6871
4;-3.1942;5.2720;0.0000;-2.3565;4.5646
5;-2.8895;5.2724;0.0000;-2.5488;4.5696
6;-2.5854;5.2728;0.0000;-2.5482;4.5375
7;-2.2809;5.2729;0.0000;-2.3838;4.4465
8;-1.9759;5.2732;0.0000;-2.3520;4.3656
9;-1.6709;5.2735;0.0000;-2.3246;4.3207
10;-1.3656;5.2736;0.0000;-2.3681;4.5058
11;-1.0609;5.2732;0.0000;-2.4477;4.6732
12;-0.7564;5.2728;0.0000;-2.4859;4.7417
13;-0.4520;5.2728;0.0000;-2.4810;4.7270
14;-0.1472;5.2727;0.0000;-2.4684;4.5861
15;0.1576;5.2722;0.0000;-2.4604;4.5752
16;0.4626;5.2710;0.0000;-2.3874;4.6569
17;0.7676;5.2691;0.0000;-2.3936;4.5612
18;1.0725;5.2683;0.0000;-2.4512;4.6963
19;1.3768;5.2677;0.0000;-2.4745;4.7963
20;1.6815;5.2661;0.0000;-2.4204;4.5573
21;1.9862;5.2652;0.0000;-2.4257;4.5080
22;2.2908;5.2647;0.0000;-2.4128;4.5450
23;2.5958;5.2644;0.0000;-2.4253;4.5812
24;2.9004;5.2644;0.0000;-2.5532;4.6444
25;3.2045;5.2640;0.0000;-2.6734;4.6309
26;3.5082;5.2639;0.0000;-2.7150;4.6341
27;3.7504;5.1500;0.0000;-2.7079;4.7498
28;3.7485;4.8225;0.0000;-2.7131;4.7894
29;3.7460;4.4955;0.0000;-2.6741;4.5619
30;3.7435;4.1692;0.0000;-2.6811;4.5361
31;3.7411;3.8424;0.0000;-2.7880;4.7054
32;3.7395;3.5152;0.0000;-2.8040;4.7484
33;3.7380;3.1881;0.0000;-2.7375;4.8935
34;3.7364;2.8604;0.0000;-2.7005;4.9078
35;3.7352;2.5328;0.0000;-2.6104;4.6646
36;3.7340;2.2064;0.0000;-2.6563;4.5583
37;3.7326;1.8797;0.0000;-2.8340;4.5957
38;3.7316;1.5530;0.0000;-2.9069;4.7967
39;3.7308;1.2249;0.0000;-2.9072;5.1580
40;3.7300;0.8963;0.0000;-2.8282;4.9950
41;3.7293;0.5691;0.0000;-2.7563;4.6249
42;3.7284;0.2427;0.0000;-2.8201;4.5426
43;3.7278;-0.0836;0.0000;-2.8405;4.4796
44;3.7277;-0.4097;0.0000;-2.7581;4.5268
45;3.7274;-0.7366;0.0000;-2.6245;4.6947
46;3.7263;-1.0639;0.0000;-2.6716;4.7594
47;3.7256;-1.3910;0.0000;-2.6856;4.8210
48;3.7251;-1.7182;0.0000;-2.8846;4.9905
49;3.7245;-2.0467;0.0000;-3.0283;5.1590
50;3.7241;-2.3751;0.0000;-3.0244;5.0920
51;3.7239;-2.7034;0.0000;-2.8800;5.0746
52;3.7236;-3.0314;0.0000;-2.8281;4.8191
