Index;surface_yz.min(epsX) [%];surface_yz.max(epsX) [%];surface_yz.avg(epsX) [%];surface_yz.min(epsY) [%];surface_yz.max(epsY) [%];surface_yz.avg(epsY) [%];surface_yz.min(patQ) [];surface_yz.max(patQ) [];surface_yz.avg(patQ) []
1;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;3.508819;6.954173;5.235749
2;-0.083046;-0.004572;-0.031404;0.074232;0.143374;0.102257;3.627087;7.023465;5.239698
3;-0.022739;0.013137;-0.003342;-0.009751;0.023139;0.006243;3.554803;6.982835;5.235671
4;-0.096445;-0.014738;-0.063098;0.160384;0.244202;0.196378;3.598583;6.986929;5.240928
5;-0.028884;0.014460;-0.007845;-0.013744;0.025582;0.006745;3.564724;6.970709;5.240399
6;-0.156803;-0.064158;-0.106541;0.243735;0.316846;0.283477;3.584409;7.003779;5.246265
7;-0.040448;0.015534;-0.015457;-0.006240;0.040043;0.017416;3.600000;6.809764;5.240271
8;-0.224698;-0.113319;-0.162024;0.332212;0.419677;0.376375;3.564567;7.089449;5.245747
9;-0.063318;-0.001275;-0.029209;0.009632;0.057268;0.036049;3.579843;6.938740;5.239113
10;-0.308090;-0.148223;-0.221349;0.393464;0.534131;0.469718;3.484725;6.881732;5.243382
11;-0.095396;-0.006162;-0.050773;0.017094;0.105369;0.063207;3.479370;6.854488;5.239976
12;-0.391446;-0.173179;-0.276071;0.455642;0.650489;0.558177;3.601260;7.047717;5.242286
13;-0.147360;-0.013867;-0.080044;0.059176;0.177626;0.114705;3.641417;6.869606;5.238362
14;-0.472562;-0.208909;-0.328363;0.535871;0.760269;0.656700;3.526299;7.124724;5.245112
15;-0.209701;-0.040324;-0.117155;0.095931;0.257186;0.181832;3.571811;6.848189;5.239511
16;-0.550560;-0.263115;-0.381019;0.623589;0.885681;0.758765;3.624567;7.050551;5.241521
17;-0.274199;-0.054987;-0.156043;0.149421;0.364995;0.260556;3.644094;7.015118;5.238521
18;-0.629624;-0.293131;-0.436167;0.695791;1.026186;0.857719;3.563150;7.046457;5.245723
19;-0.345992;-0.082086;-0.200223;0.197119;0.473466;0.342443;3.525984;6.979685;5.245379
20;-0.708552;-0.342286;-0.488234;0.769353;1.138077;0.957694;3.578898;7.073228;5.244602
21;-0.413642;-0.109760;-0.242899;0.266459;0.579907;0.427788;3.579528;7.093071;5.238295
22;-0.774267;-0.373895;-0.536491;0.868264;1.259027;1.057240;3.566772;7.077165;5.244581
23;-0.473458;-0.137435;-0.282316;0.352885;0.684718;0.518247;3.556693;7.052598;5.234956
24;-0.838737;-0.411483;-0.581153;0.949427;1.389158;1.156377;3.526457;7.055433;5.239513
25;-0.543159;-0.164266;-0.330555;0.434992;0.799051;0.607324;3.626772;7.057795;5.237072
26;-0.901740;-0.435529;-0.628947;1.034002;1.497250;1.257282;3.552756;7.181260;5.249153
27;-0.600532;-0.200975;-0.375361;0.511397;0.907449;0.702391;3.575748;7.088031;5.238928
28;-0.962029;-0.465940;-0.674697;1.110748;1.605922;1.353472;3.504095;7.170551;5.240005
29;-0.657178;-0.230641;-0.416226;0.586820;1.019459;0.796559;3.505512;7.005984;5.238391
30;-1.008173;-0.483634;-0.717142;1.219043;1.722145;1.456995;3.598268;6.938425;5.239311
31;-0.709403;-0.254766;-0.454068;0.664969;1.140101;0.889285;3.440000;7.005827;5.241877
32;-1.070337;-0.521274;-0.759176;1.308216;1.843860;1.557075;3.588504;6.961417;5.239315
33;-0.762591;-0.259355;-0.493209;0.762361;1.255640;0.989036;3.503464;7.047401;5.236660
34;-1.131714;-0.544965;-0.803956;1.388973;1.959128;1.654175;3.531339;6.965039;5.237827
35;-0.819336;-0.289208;-0.539973;0.828762;1.352740;1.076993;3.465827;6.981417;5.234875
36;-1.181536;-0.563611;-0.842471;1.482930;2.067659;1.754094;3.576221;7.261260;5.236928
37;-0.869987;-0.313209;-0.579114;0.914125;1.464927;1.171475;3.537795;6.975118;5.238173
38;-1.239615;-0.601942;-0.888140;1.576122;2.178914;1.853277;3.497008;7.122677;5.226268
39;-0.927518;-0.339133;-0.624005;0.994201;1.572665;1.265956;3.524410;6.972599;5.234661
40;-1.283113;-0.612850;-0.925264;1.657598;2.283723;1.950508;3.570394;7.216063;5.235929
41;-0.981107;-0.373566;-0.661151;1.080957;1.671374;1.362420;3.603465;6.909291;5.233238
42;-1.335663;-0.638775;-0.965111;1.739843;2.393582;2.047431;3.547244;6.908504;5.230287
43;-1.029594;-0.404458;-0.700118;1.163685;1.785911;1.456861;3.601890;7.024095;5.232875
44;-1.373007;-0.663690;-1.000459;1.829121;2.525257;2.151291;3.495275;7.251181;5.230921
45;-1.083583;-0.446694;-0.741574;1.257431;1.894051;1.549758;3.565669;6.988504;5.228962
46;-1.434703;-0.692861;-1.042771;1.920896;2.623589;2.243726;3.578583;6.937795;5.232068
47;-1.132476;-0.450850;-0.781242;1.337882;2.000776;1.647249;3.551811;7.084882;5.232675
48;-1.475019;-0.720973;-1.079354;2.010884;2.746356;2.344900;3.514488;7.288504;5.227202
49;-1.189694;-0.462712;-0.818775;1.416076;2.098052;1.742020;3.486457;7.005197;5.230324
50;-1.533987;-0.762035;-1.119023;2.094551;2.866169;2.441783;3.479685;7.148032;5.223647
51;-1.239602;-0.498421;-0.859087;1.503286;2.220836;1.837522;3.475748;7.033543;5.230485
52;-1.575917;-0.774249;-1.155527;2.178939;2.966734;2.538043;3.529291;6.931181;5.226664
53;-1.291798;-0.521788;-0.899505;1.587552;2.331511;1.931032;3.584882;7.110079;5.223851
54;-1.622802;-0.812504;-1.191609;2.257416;3.073223;2.642266;3.545512;7.271811;5.230991
55;-1.333781;-0.559665;-0.935582;1.664306;2.441828;2.028619;3.485669;7.019843;5.224477
56;-1.673976;-0.829340;-1.234120;2.348659;3.179723;2.736366;3.559055;6.964409;5.221225
57;-1.376385;-0.590524;-0.971214;1.745894;2.543122;2.123683;3.543937;6.960000;5.225163
58;-1.714614;-0.854585;-1.266423;2.442184;3.292591;2.835673;3.508347;7.275433;5.221625
59;-1.424944;-0.621864;-1.007696;1.828918;2.664104;2.221522;3.565512;7.038268;5.222150
60;-1.767166;-0.868511;-1.304706;2.518727;3.387195;2.932664;3.488346;7.298583;5.224481
61;-1.481394;-0.617949;-1.047021;1.919388;2.767978;2.314397;3.578425;7.204567;5.226352
62;-1.812193;-0.896812;-1.339107;2.599637;3.509692;3.028824;3.563465;7.327086;5.219237
63;-1.533968;-0.647017;-1.082940;2.011159;2.869975;2.409494;3.562362;7.049134;5.221702
64;-1.849567;-0.921764;-1.375954;2.695149;3.631588;3.131078;3.502835;7.043307;5.214501
65;-1.592777;-0.671580;-1.118801;2.099228;2.966055;2.504114;3.525512;7.024724;5.219553
66;-1.893327;-0.948354;-1.411556;2.777662;3.736408;3.228094;3.552913;7.433228;5.215241
67;-1.630331;-0.692556;-1.156754;2.188241;3.082294;2.602016;3.546929;7.312126;5.219497
68;-1.928999;-0.981789;-1.445492;2.869830;3.838476;3.325234;3.493386;7.388347;5.219154
69;-1.688419;-0.704484;-1.191523;2.271340;3.189348;2.698751;3.525512;7.027244;5.218243
70;-1.976114;-1.005464;-1.482351;2.958785;3.937518;3.420386;3.499685;7.384095;5.211117
71;-1.742021;-0.751970;-1.226369;2.354926;3.283305;2.792132;3.547087;6.985039;5.217819
72;-2.025903;-1.032786;-1.517212;3.051905;4.038286;3.520126;3.552756;7.231024;5.207947
73;-1.791086;-0.776248;-1.261690;2.432689;3.404499;2.888081;3.554803;6.909764;5.212500
74;-2.092236;-1.048324;-1.549597;3.139631;4.167629;3.619369;3.504567;7.369764;5.210850
75;-1.835110;-0.814053;-1.295343;2.535296;3.522601;2.983558;3.520000;7.115591;5.220792
76;-2.130172;-1.072520;-1.583855;3.225371;4.279403;3.714107;3.542520;7.230866;5.208926
77;-1.880648;-0.850906;-1.330515;2.607636;3.627886;3.080785;3.553543;7.101575;5.216953
78;-2.165811;-1.114063;-1.618782;3.320838;4.387488;3.814124;3.515906;7.385984;5.209081
79;-1.919702;-0.890238;-1.366259;2.696640;3.725104;3.175450;3.553858;7.368189;5.210947
80;-2.225254;-1.141740;-1.654766;3.410406;4.494986;3.913195;3.540945;7.351181;5.211258
81;-1.948665;-0.901241;-1.398245;2.779740;3.837206;3.270353;3.535748;7.340945;5.212709
82;-2.249351;-1.167103;-1.688141;3.500420;4.604415;4.010963;3.541102;7.460473;5.205290
83;-1.998956;-0.923379;-1.433385;2.865516;3.945113;3.366078;3.503464;7.114331;5.212992
84;-2.312437;-1.193130;-1.718037;3.594015;4.709025;4.107376;3.503307;7.008976;5.202398
85;-2.063454;-0.939932;-1.466089;2.963745;4.044992;3.463888;3.519212;7.332126;5.205201
86;-2.351608;-1.223871;-1.757641;3.679480;4.814596;4.204642;3.510394;7.441417;5.203258
87;-2.117187;-0.965767;-1.498075;3.048392;4.141523;3.558274;3.482835;7.350394;5.200966
88;-2.408643;-1.241763;-1.788073;3.762820;4.911110;4.299764;3.455905;7.179842;5.197994
89;-2.157215;-0.985822;-1.530952;3.132819;4.253923;3.654573;3.494961;7.365669;5.204064
