# Units: length:mm angle:deg time:s strain:% 
# Stage: image-000061
stage;index;relative_time;date
"image-000061";62;61.0000;"2022-09-26T12:02:30.016"
# Name : surface_yz
id;x;y;z;epsilon_x;epsilon_y
0;-0.8237;3.1688;0.0000;-1.2749;2.9169
1;-0.6072;3.1699;0.0000;-1.2220;2.8908
2;-0.3903;3.1710;0.0000;-1.1483;2.7858
3;-0.1734;3.1724;0.0000;-1.2061;2.7827
4;0.0433;3.1736;0.0000;-1.2542;2.7190
5;0.2600;3.1745;0.0000;-1.1985;2.8476
6;0.4766;3.1752;0.0000;-1.3121;3.0685
7;0.6931;3.1758;0.0000;-1.3304;3.0650
8;0.9096;3.1766;0.0000;-1.2445;2.8476
9;1.1227;3.1681;0.0000;-1.1836;2.8141
10;1.2203;2.9903;0.0000;-1.1301;2.7642
11;1.2228;2.7648;0.0000;-1.1928;2.8307
12;1.2250;2.5392;0.0000;-1.2413;2.8288
13;1.2270;2.3136;0.0000;-1.2346;2.8295
14;1.2287;2.0878;0.0000;-1.4026;2.9280
15;1.2301;1.8620;0.0000;-1.3352;2.8392
16;1.2318;1.6363;0.0000;-1.2854;2.8476
17;1.2338;1.4107;0.0000;-1.2189;2.7498
18;1.2361;1.1854;0.0000;-1.1508;2.7088
19;1.2381;0.9601;0.0000;-1.1796;2.8502
20;1.2397;0.7345;0.0000;-1.4042;2.9346
21;1.2422;0.5085;0.0000;-1.4119;3.0255
22;1.2449;0.2826;0.0000;-1.3391;2.8962
23;1.2477;0.0570;0.0000;-1.3289;2.8480
24;1.2504;-0.1686;0.0000;-1.5492;3.0365
25;1.2528;-0.3949;0.0000;-1.7904;3.2201
26;1.2551;-0.6215;0.0000;-1.7668;3.2771
27;1.2575;-0.8477;0.0000;-1.4500;3.0763
28;1.2598;-1.0738;0.0000;-1.4977;3.1222
29;1.2626;-1.2999;0.0000;-1.4951;3.0523
30;1.2659;-1.5258;0.0000;-1.4291;2.9352
31;1.2693;-1.7514;0.0000;-1.2180;2.8328
32;1.2726;-1.9769;0.0000;-1.1522;2.7747
33;1.2753;-2.2023;0.0000;-1.1547;2.7411
34;1.2775;-2.4279;0.0000;-1.3389;2.9785
35;1.2802;-2.6541;0.0000;-1.4772;3.0901
36;1.2835;-2.8801;0.0000;-1.3828;3.0440
37;1.2868;-3.1061;0.0000;-1.4107;3.0948
38;1.2903;-3.3324;0.0000;-1.4410;3.1955
39;1.2939;-3.5587;0.0000;-1.4472;3.1960
40;1.2981;-3.7851;0.0000;-1.2508;3.1302
41;1.3026;-4.0112;0.0000;-0.9312;2.9974
42;1.3063;-4.2369;0.0000;-0.8968;2.7979
43;1.3088;-4.4627;0.0000;-1.3003;3.0484
44;1.3112;-4.6888;0.0000;-1.4623;3.1371
45;1.3146;-4.9154;0.0000;-1.4415;3.1569
46;1.3181;-5.1420;0.0000;-1.5154;3.0007
47;1.3214;-5.3673;0.0000;-1.3096;3.0275
48;1.3239;-5.5932;0.0000;-1.4079;3.1712
49;1.3000;-5.8095;0.0000;-1.4570;3.2674
50;1.1267;-5.9099;0.0000;-1.5244;3.2438
51;0.9107;-5.9104;0.0000;-1.6581;3.3675
52;0.6952;-5.9109;0.0000;-1.6683;3.2853
53;0.4793;-5.9116;0.0000;-1.5548;3.2919
54;0.2632;-5.9114;0.0000;-1.4207;3.1725
55;0.0467;-5.9108;0.0000;-1.2225;2.9155
56;-0.1701;-5.9106;0.0000;-1.2387;2.7625
57;-0.3866;-5.9113;0.0000;-1.3007;2.7723
58;-0.6030;-5.9123;0.0000;-1.3185;2.9561
59;-0.7886;-5.8561;0.0000;-1.2196;2.8980
60;-0.7984;-5.6325;0.0000;-1.3777;3.0547
61;-0.8013;-5.4061;0.0000;-1.4305;3.2374
62;-0.8040;-5.1795;0.0000;-1.3921;3.2064
63;-0.8069;-4.9531;0.0000;-1.2846;3.0248
64;-0.8102;-4.7275;0.0000;-1.2242;2.8791
65;-0.8135;-4.5020;0.0000;-1.2374;2.8861
66;-0.8165;-4.2761;0.0000;-1.3682;3.0705
67;-0.8195;-4.0499;0.0000;-1.4751;3.2170
68;-0.8229;-3.8235;0.0000;-1.4225;3.2060
69;-0.8267;-3.5970;0.0000;-1.2262;3.1507
70;-0.8298;-3.3710;0.0000;-1.2818;3.0544
71;-0.8327;-3.1447;0.0000;-1.4189;3.1517
72;-0.8358;-2.9185;0.0000;-1.3658;3.1232
73;-0.8389;-2.6923;0.0000;-1.2769;3.0646
74;-0.8413;-2.4660;0.0000;-1.3185;3.1544
75;-0.8437;-2.2395;0.0000;-1.3395;3.2640
76;-0.8463;-2.0130;0.0000;-1.3164;3.1410
77;-0.8484;-1.7870;0.0000;-1.1995;3.0322
78;-0.8498;-1.5611;0.0000;-1.2168;2.9521
79;-0.8513;-1.3353;0.0000;-1.2199;2.9975
80;-0.8532;-1.1093;0.0000;-1.3334;3.0540
81;-0.8553;-0.8834;0.0000;-1.5070;3.0542
82;-0.8578;-0.6572;0.0000;-1.5154;3.0450
83;-0.8604;-0.4312;0.0000;-1.2920;2.9843
84;-0.8627;-0.2052;0.0000;-1.3022;3.0886
85;-0.8649;0.0211;0.0000;-1.3245;3.1470
86;-0.8674;0.2473;0.0000;-1.3028;3.0283
87;-0.8696;0.4733;0.0000;-1.2416;2.9795
88;-0.8713;0.6993;0.0000;-1.4376;3.1278
89;-0.8732;0.9258;0.0000;-1.6102;3.3034
90;-0.8753;1.1524;0.0000;-1.4168;3.1360
91;-0.8775;1.3784;0.0000;-1.2069;2.9343
92;-0.8790;1.6041;0.0000;-1.1581;2.8647
93;-0.8805;1.8298;0.0000;-1.2246;3.0700
94;-0.8823;2.0563;0.0000;-1.3569;3.2500
