Zeit [s];surface_yx.min(epsX) [%];surface_yx.max(epsX) [%];surface_yx.avg(epsX) [%];surface_yx.min(epsY) [%];surface_yx.max(epsY) [%];surface_yx.avg(epsY) [%];surface_yx.min(patQ) [];surface_yx.max(patQ) [];surface_yx.avg(patQ) []
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;3.405432;6.950667;5.690816
1.000000;-0.108125;0.052164;-0.032498;-0.020376;0.181397;0.087745;3.376507;6.985055;5.690128
2.000000;-0.093412;0.058412;0.003947;-0.062256;0.091957;0.018662;3.322835;6.954524;5.686839
3.000000;-0.152729;0.016044;-0.061225;0.088200;0.299613;0.185720;3.337297;6.993090;5.707922
4.000000;-0.098676;0.075090;0.001771;-0.105206;0.099142;-0.003003;3.409931;6.936847;5.693246
5.000000;-0.199962;0.012083;-0.087338;0.186730;0.459880;0.314926;3.324442;7.041941;5.698633
6.000000;-0.077101;0.066994;-0.004773;-0.126947;0.088168;0.012587;3.445926;7.120360;5.713583
7.000000;-0.196716;-0.023665;-0.119107;0.307219;0.533833;0.403767;3.396754;6.971879;5.695538
8.000000;-0.098358;0.065148;-0.012161;-0.076389;0.093887;0.020559;3.335690;6.955166;5.688722
9.000000;-0.219940;-0.053686;-0.141522;0.397277;0.609910;0.511628;3.333762;6.968343;5.691395
10.000000;-0.119728;0.064361;-0.028725;-0.028650;0.150680;0.065312;3.421501;6.984091;5.697889
11.000000;-0.295682;-0.108064;-0.199310;0.478564;0.756311;0.629457;3.427607;6.881890;5.687963
12.000000;-0.131912;0.031079;-0.053588;0.022936;0.228297;0.130265;3.386791;6.977021;5.683349
13.000000;-0.341971;-0.142019;-0.238523;0.600394;0.831449;0.739192;3.397075;7.004660;5.698257
14.000000;-0.199342;-0.027438;-0.109051;0.106474;0.317931;0.213559;3.470352;6.926563;5.703707
15.000000;-0.424052;-0.197369;-0.299216;0.709805;0.993204;0.850130;3.374257;6.915636;5.667552
16.000000;-0.241185;-0.057072;-0.155120;0.178522;0.452161;0.302142;3.391612;6.965129;5.679417
17.000000;-0.482696;-0.230647;-0.353241;0.788586;1.103067;0.934386;3.462960;6.976378;5.687550
18.000000;-0.348269;-0.091290;-0.214697;0.228419;0.565601;0.416393;3.420858;6.955166;5.676894
19.000000;-0.527163;-0.267394;-0.396060;0.892014;1.194263;1.053783;3.390005;6.990519;5.667842
20.000000;-0.400043;-0.164082;-0.273645;0.312303;0.643278;0.520908;3.303551;6.976699;5.673529
21.000000;-0.596761;-0.345972;-0.480847;0.962939;1.310695;1.146243;3.350474;6.962558;5.678434
22.000000;-0.438921;-0.203209;-0.315458;0.484618;0.753152;0.625647;3.251487;7.083722;5.656983
