# Units: length:mm angle:deg time:s strain:% 
# Stage: image-000049
stage;index;relative_time;date
"image-000049";50;49.0000;"2022-09-26T12:03:27.641"
# Name : surface_yx
id;x;y;z;epsilon_x;epsilon_y;pattern_quality
0;4.2135;4.6859;0.0000;-1.3806;2.4901;3.8027
1;4.3295;4.4468;0.0000;-1.3574;2.4424;4.5955
2;4.3322;4.1758;0.0000;-1.3008;2.4454;5.0648
3;4.3349;3.9046;0.0000;-1.3287;2.5002;5.6182
4;4.3375;3.6333;0.0000;-1.3591;2.5407;6.8575
5;4.3404;3.3619;0.0000;-1.3276;2.5307;6.1472
6;4.3431;3.0906;0.0000;-1.3548;2.5597;4.8761
7;4.3453;2.8193;0.0000;-1.5593;2.6270;3.2300
8;4.3481;2.5475;0.0000;-1.4867;2.6465;4.1861
9;4.3510;2.2759;0.0000;-1.4299;2.5529;6.0649
10;4.3538;2.0047;0.0000;-1.4263;2.5030;6.2099
11;4.3567;1.7335;0.0000;-1.3652;2.5299;6.5084
12;4.3597;1.4622;0.0000;-1.3468;2.5979;6.1726
13;4.3628;1.1905;0.0000;-1.3389;2.6366;5.9441
14;4.3658;0.9188;0.0000;-1.3370;2.6465;6.2610
15;4.3686;0.6472;0.0000;-1.3727;2.6425;6.0357
16;4.3715;0.3757;0.0000;-1.3951;2.5805;5.9055
17;4.3744;0.1043;0.0000;-1.3678;2.5348;5.7995
18;4.3773;-0.1671;0.0000;-1.4277;2.5356;5.7304
19;4.3805;-0.4383;0.0000;-1.3769;2.4709;5.8650
20;4.3838;-0.7094;0.0000;-1.3181;2.4536;5.1043
21;4.3869;-0.9806;0.0000;-1.3464;2.4820;5.1062
22;4.3900;-1.2518;0.0000;-1.4260;2.4729;6.4628
23;4.3929;-1.5230;0.0000;-1.4330;2.4859;5.9531
24;4.3958;-1.7941;0.0000;-1.4059;2.5271;5.7512
25;4.3989;-2.0655;0.0000;-1.3830;2.5660;5.9473
26;4.4019;-2.3369;0.0000;-1.3593;2.5308;5.9746
27;4.4050;-2.6082;0.0000;-1.3301;2.5484;5.7001
28;4.4084;-2.8796;0.0000;-1.3095;2.6258;5.7365
29;4.4115;-3.1515;0.0000;-1.2939;2.7055;6.1578
30;4.4145;-3.4232;0.0000;-1.2816;2.6642;6.1292
31;4.4177;-3.6947;0.0000;-1.2409;2.6234;5.8570
32;4.4209;-3.9663;0.0000;-1.2455;2.5867;5.5841
33;4.4239;-4.2377;0.0000;-1.2880;2.5721;5.5440
34;4.4268;-4.5091;0.0000;-1.3102;2.5558;5.4421
35;4.4301;-4.7805;0.0000;-1.3333;2.6200;4.7887
36;4.4338;-5.0520;0.0000;-1.2834;2.6416;4.3786
37;4.4371;-5.3238;0.0000;-1.3230;2.6572;3.6818
38;4.4405;-5.5955;0.0000;-1.3160;2.6433;4.3214
39;4.4441;-5.8669;0.0000;-1.2719;2.5881;5.1486
40;4.4476;-6.1382;0.0000;-1.2070;2.5132;5.7027
41;4.3157;-6.3450;0.0000;-1.2086;2.4791;6.3259
