Index;suface_yz.min(epsX) [%];suface_yz.max(epsX) [%];suface_yz.avg(epsX) [%];suface_yz.min(epsY) [%];suface_yz.max(epsY) [%];suface_yz.avg(epsY) [%];suface_yz.min(patQ) [];suface_yz.max(patQ) [];suface_yz.avg(patQ) []
1;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.860974;6.194144;4.361792
2;-0.084118;0.015724;-0.034135;0.028098;0.150859;0.091816;1.818406;6.201280;4.359672
3;-0.023526;0.035465;0.002622;-0.033951;0.030732;0.002677;1.823081;6.121801;4.359626
4;-0.118650;-0.016135;-0.062412;0.117852;0.251472;0.189281;1.890502;6.198081;4.369499
5;-0.037880;0.029599;-0.003859;-0.041800;0.044143;-0.001543;1.882136;6.153297;4.363823
6;-0.214626;-0.033339;-0.097799;0.218297;0.345947;0.284429;1.868848;6.138041;4.372850
7;-0.051880;0.023588;-0.009745;-0.084038;0.088350;0.005916;1.886319;6.126230;4.366507
8;-0.272792;-0.067850;-0.142810;0.310168;0.454668;0.376525;1.786909;6.255414;4.373999
9;-0.069714;0.009455;-0.019210;-0.041658;0.093794;0.020055;1.897392;6.205462;4.367530
10;-0.305233;-0.119109;-0.198046;0.404375;0.546540;0.480859;1.858514;6.166338;4.374222
11;-0.101172;0.010834;-0.039333;-0.026225;0.117339;0.051853;1.813730;6.189714;4.369687
12;-0.341278;-0.173733;-0.249233;0.484474;0.663553;0.579195;1.871063;6.109498;4.375311
13;-0.146793;-0.018980;-0.073393;0.029518;0.187941;0.121187;1.858268;6.226132;4.369593
14;-0.398807;-0.218953;-0.297689;0.592774;0.765373;0.684004;1.886319;6.085630;4.381525
15;-0.184560;-0.062097;-0.114666;0.090170;0.290635;0.204354;1.882874;6.175197;4.369970
16;-0.457272;-0.257248;-0.343918;0.671940;0.860406;0.776649;1.903789;6.097687;4.372175
17;-0.229832;-0.085783;-0.156593;0.181736;0.376581;0.292153;1.799951;6.111712;4.367970
18;-0.540267;-0.288511;-0.391898;0.766232;0.961156;0.876967;1.841781;6.159695;4.369122
19;-0.277493;-0.114187;-0.191855;0.232484;0.468077;0.378208;1.881152;6.145916;4.367555
20;-0.544522;-0.332227;-0.430531;0.843908;1.085428;0.978367;1.894193;6.220226;4.374154
21;-0.323758;-0.122239;-0.231945;0.307121;0.560103;0.468551;1.805364;6.145177;4.372049
22;-0.589039;-0.378920;-0.473324;0.943687;1.186585;1.077431;1.874016;6.094734;4.373574
23;-0.376426;-0.168631;-0.267442;0.391600;0.658404;0.558388;1.899852;6.140256;4.369492
24;-0.617983;-0.413890;-0.509086;1.042036;1.280788;1.175407;1.846949;6.197834;4.379476
25;-0.429699;-0.193735;-0.301987;0.495225;0.750489;0.647920;1.874508;6.143701;4.369000
26;-0.676419;-0.448426;-0.553051;1.116920;1.379693;1.271326;1.883366;6.284203;4.372868
27;-0.483822;-0.240900;-0.347341;0.579149;0.847836;0.739545;1.857037;6.124508;4.366598
28;-0.723261;-0.467391;-0.590162;1.190159;1.491357;1.370320;1.897638;6.111959;4.374134
29;-0.530692;-0.282416;-0.379690;0.658263;0.940845;0.832145;1.842520;6.193898;4.366734
30;-0.798030;-0.494298;-0.626618;1.300865;1.598897;1.469463;1.823573;6.136073;4.375703
31;-0.584406;-0.310610;-0.418463;0.765296;1.038401;0.922913;1.874016;6.165600;4.365565
32;-0.843790;-0.525254;-0.664303;1.383615;1.709016;1.569155;1.907480;6.138041;4.375659
