# Units: length:mm angle:deg time:s strain:% 
# Stage: image-000092
stage;index;relative_time;date
"image-000092";93;92.0000;"2022-09-26T12:04:50.373"
# Name : suface_yz
id;x;y;z;epsilon_x;epsilon_y;pattern_quality
0;-1.7067;2.9753;0.0000;-1.4169;3.8045;4.4865
1;-1.5315;2.9751;0.0000;-1.3550;3.7103;4.5965
2;-1.3561;2.9750;0.0000;-1.2274;3.7690;5.2000
3;-1.1806;2.9746;0.0000;-1.2389;3.8596;5.2424
4;-1.0051;2.9740;0.0000;-1.2916;3.7359;4.5369
5;-0.8298;2.9741;0.0000;-1.2341;3.6923;4.2746
6;-0.6543;2.9745;0.0000;-1.3078;3.6943;4.4222
7;-0.4791;2.9750;0.0000;-1.4010;3.7324;4.4382
8;-0.3039;2.9760;0.0000;-1.3821;3.7236;4.4680
9;-0.1286;2.9770;0.0000;-1.2991;3.5282;5.0251
10;0.0469;2.9779;0.0000;-1.2044;3.5210;5.0527
11;0.2225;2.9792;0.0000;-1.2580;3.5280;5.1715
12;0.3977;2.9813;0.0000;-1.4505;3.6847;5.2493
13;0.4050;2.7994;0.0000;-1.5737;3.6946;5.4281
14;0.4076;2.6151;0.0000;-1.5044;3.7189;5.2160
15;0.4103;2.4309;0.0000;-1.5422;3.7773;4.5662
16;0.4129;2.2464;0.0000;-1.4629;3.7328;3.8100
17;0.4153;2.0622;0.0000;-1.6555;3.6193;3.9609
18;0.4177;1.8782;0.0000;-1.7132;3.6307;5.0261
19;0.4204;1.6940;0.0000;-1.6166;3.7238;4.9395
20;0.4231;1.5096;0.0000;-1.5712;3.8056;4.4904
21;0.4255;1.3253;0.0000;-1.6103;3.7311;4.7771
22;0.4281;1.1410;0.0000;-1.7709;3.7228;4.4437
23;0.4304;0.9567;0.0000;-1.6847;3.7149;3.9978
24;0.4328;0.7723;0.0000;-1.6301;3.7672;4.8307
25;0.4353;0.5881;0.0000;-1.5867;3.7213;4.9107
26;0.4375;0.4038;0.0000;-1.7233;3.7438;4.0007
27;0.4398;0.2195;0.0000;-1.8234;3.7702;4.1499
28;0.4425;0.0351;0.0000;-1.8970;4.0206;4.0984
29;0.4453;-0.1497;0.0000;-1.8430;4.0335;4.4781
30;0.4481;-0.3345;0.0000;-1.7756;3.9337;4.1115
31;0.4507;-0.5192;0.0000;-1.6467;3.8674;4.2069
32;0.4532;-0.7037;0.0000;-1.5742;3.8445;5.0342
33;0.4557;-0.8882;0.0000;-1.5405;3.8428;4.0824
34;0.4582;-1.0726;0.0000;-1.5854;3.7852;3.4781
35;0.4606;-1.2570;0.0000;-1.8133;3.9235;3.7549
36;0.4632;-1.4412;0.0000;-1.8760;4.0367;4.6863
37;0.4664;-1.6263;0.0000;-1.8127;4.1554;5.5883
38;0.4693;-1.8113;0.0000;-1.8346;4.0548;4.4680
39;0.4718;-1.9959;0.0000;-1.7466;3.7950;3.0438
40;0.4740;-2.1802;0.0000;-1.8045;3.9201;3.1740
41;0.4762;-2.3650;0.0000;-1.8558;4.0751;4.0049
42;0.4787;-2.5500;0.0000;-1.8816;4.0895;4.2333
43;0.4814;-2.7350;0.0000;-1.8457;4.1402;3.6954
44;0.4841;-2.9198;0.0000;-1.7683;4.0181;3.9545
45;0.4868;-3.1046;0.0000;-1.7811;4.0959;5.0938
46;0.4898;-3.2897;0.0000;-1.7041;4.1420;4.9456
47;0.4925;-3.4749;0.0000;-1.7785;4.1602;4.6720
48;0.4952;-3.6599;0.0000;-1.7301;4.1104;4.6476
49;0.4977;-3.8448;0.0000;-1.7348;3.9833;4.5475
50;0.5002;-4.0294;0.0000;-1.7329;3.9013;4.5340
51;0.5028;-4.2139;0.0000;-1.5892;3.8296;5.0039
52;0.5051;-4.3983;0.0000;-1.5646;3.8286;4.5886
53;0.5077;-4.5828;0.0000;-1.5823;3.8690;4.0832
54;0.5104;-4.7675;0.0000;-1.6892;3.8871;3.6745
55;0.5131;-4.9520;0.0000;-1.6638;3.8686;4.2564
56;0.5159;-5.1362;0.0000;-1.6559;3.8466;4.5819
57;0.5189;-5.3207;0.0000;-1.7185;3.9896;4.3757
58;0.4688;-5.4853;0.0000;-1.6017;4.1871;4.7170
59;0.2939;-5.4884;0.0000;-1.5014;4.1069;4.3182
60;0.1187;-5.4910;0.0000;-1.3979;3.9662;3.6993
61;-0.0565;-5.4936;0.0000;-1.3410;3.9742;4.6922
62;-0.2319;-5.4960;0.0000;-1.2984;4.0325;5.1875
63;-0.4073;-5.4978;0.0000;-1.3224;3.9931;5.0650
64;-0.5825;-5.4995;0.0000;-1.3432;3.9545;4.7763
65;-0.7578;-5.5012;0.0000;-1.3873;4.1293;5.0125
66;-0.9329;-5.5016;0.0000;-1.4129;3.9327;4.5236
67;-1.1081;-5.5013;0.0000;-1.3892;3.7327;4.1420
68;-1.2833;-5.5014;0.0000;-1.3835;3.8023;4.1526
69;-1.4585;-5.5019;0.0000;-1.3594;3.9151;4.1016
70;-1.6306;-5.4965;0.0000;-1.2811;3.8799;4.4011
71;-1.6745;-5.3238;0.0000;-1.2318;3.8456;4.9094
72;-1.6759;-5.1393;0.0000;-1.2854;3.8411;4.9648
73;-1.6774;-4.9548;0.0000;-1.2941;3.8564;4.2343
74;-1.6789;-4.7703;0.0000;-1.3497;3.8580;3.9567
75;-1.6803;-4.5857;0.0000;-1.3402;3.8312;4.0458
76;-1.6818;-4.4012;0.0000;-1.2761;3.7910;3.7077
77;-1.6830;-4.2168;0.0000;-1.4234;3.8305;3.6626
78;-1.6842;-4.0323;0.0000;-1.5055;3.8995;4.5108
79;-1.6856;-3.8476;0.0000;-1.5428;3.9561;5.1983
80;-1.6869;-3.6627;0.0000;-1.6222;3.9860;4.6316
81;-1.6882;-3.4780;0.0000;-1.5095;3.9937;3.9368
82;-1.6894;-3.2933;0.0000;-1.4910;4.0449;4.2207
83;-1.6909;-3.1085;0.0000;-1.4146;3.9795;5.0844
84;-1.6922;-2.9238;0.0000;-1.3657;3.9476;4.4552
85;-1.6932;-2.7392;0.0000;-1.4507;3.9200;3.4537
86;-1.6945;-2.5545;0.0000;-1.4409;3.8990;3.7847
