Index;surface_yx_20/10.min(epsX) [%];surface_yx_20/10.max(epsX) [%];surface_yx_20/10.avg(epsX) [%];surface_yx_30/15.min(epsX) [%];surface_yx_30/15.max(epsX) [%];surface_yx_30/15.avg(epsX) [%];surface_yx_40/20.min(epsX) [%];surface_yx_40/20.max(epsX) [%];surface_yx_40/20.avg(epsX) [%];surface_yx_20/10.min(epsY) [%];surface_yx_20/10.max(epsY) [%];surface_yx_20/10.avg(epsY) [%];surface_yx_30/15.min(epsY) [%];surface_yx_30/15.max(epsY) [%];surface_yx_30/15.avg(epsY) [%];surface_yx_40/20.min(epsY) [%];surface_yx_40/20.max(epsY) [%];surface_yx_40/20.avg(epsY) [%];surface_yx_20/10.min(patQ) [];surface_yx_20/10.max(patQ) [];surface_yx_20/10.avg(patQ) [];surface_yx_30/15.min(patQ) [];surface_yx_30/15.max(patQ) [];surface_yx_30/15.avg(patQ) [];surface_yx_40/20.min(patQ) [];surface_yx_40/20.max(patQ) [];surface_yx_40/20.avg(patQ) []
1;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2.079724;8.974409;5.080522;2.751969;8.415573;5.201047;2.799705;8.257135;5.318125
2;-0.190828;0.266692;0.041110;-0.087695;0.194623;0.041290;-0.079637;0.126835;0.041231;-0.530163;0.364196;-0.094610;-0.249159;0.092719;-0.096174;-0.213874;0.043379;-0.095599;2.087598;8.988189;5.081498;2.765092;8.365705;5.205867;2.781496;8.306841;5.321291
3;-0.320518;0.377062;0.003304;-0.191826;0.140855;0.002235;-0.133489;0.087936;0.003328;-0.397064;0.608904;0.000486;-0.251811;0.225561;-0.000650;-0.226518;0.237071;-0.001063;2.134843;8.712599;5.087755;2.747594;8.432196;5.211686;2.804872;8.381643;5.329119
4;-0.429472;0.416486;0.076902;-0.070139;0.252340;0.075501;-0.060062;0.166489;0.076100;-0.812135;0.361373;-0.176020;-0.429472;0.018202;-0.182180;-0.355544;-0.000257;-0.179984;2.135827;8.921260;5.091648;2.776465;8.452756;5.215438;2.763041;8.354577;5.330847
5;-0.959805;0.321292;-0.001241;-0.268018;0.250361;-0.000251;-0.146950;0.110533;0.000783;-0.792047;0.899465;-0.008225;-0.163629;0.201762;-0.011388;-0.111892;0.155381;-0.009654;2.117126;9.007874;5.080865;2.681977;8.418635;5.204417;2.803888;8.356545;5.322128
6;-0.698154;1.051250;0.105654;-0.200696;0.519032;0.102317;-0.013449;0.457127;0.102673;-3.014930;0.680509;-0.514751;-2.731528;-0.021099;-0.502154;-2.658516;-0.039259;-0.499848;2.113189;8.945867;5.112631;2.772966;8.502187;5.240305;2.855561;8.279528;5.355138
7;-0.938637;0.785799;0.039302;-0.372016;0.471853;0.036668;-0.116168;0.418185;0.039206;-2.487833;1.081084;-0.215893;-2.256982;0.303782;-0.205899;-2.170812;0.233523;-0.203278;2.159449;9.030512;5.097479;2.801400;8.431759;5.219929;2.788140;8.349409;5.337912
8;-0.802933;0.952127;0.108862;-0.685120;0.609168;0.105170;-0.039770;0.532429;0.107924;-3.031608;0.653395;-0.553038;-2.760677;-0.018227;-0.537392;-2.670985;-0.040821;-0.536771;2.167323;8.978347;5.109816;2.795713;8.360018;5.233861;2.843012;8.455462;5.351149
9;-0.870352;0.826196;0.022494;-0.388332;0.426779;0.018640;-0.131967;0.355524;0.020990;-2.579588;0.955418;-0.281100;-2.335268;0.255100;-0.269360;-2.219964;0.167542;-0.267434;2.152559;8.789371;5.105803;2.799650;8.502625;5.230750;2.822589;8.323573;5.350205
10;-0.789151;0.973934;0.101915;-0.956212;0.551419;0.097437;-0.051512;0.477257;0.099685;-3.037388;0.673883;-0.598396;-2.790349;0.030506;-0.580846;-2.693409;-0.019841;-0.581186;2.150591;8.850393;5.102560;2.818023;8.398513;5.227201;2.820866;8.397145;5.345791
