# Units: length:mm angle:deg time:s strain:% 
# Stage: image-000067
stage;index;relative_time;date
"image-000067";68;67.0000;"2022-09-26T12:06:06.614"
# Name : surface_yx_20/10
id;x;y;z;epsilon_x;epsilon_y;pattern_quality
0;-2.0743;8.0806;0.0000;-0.1750;-3.2053;4.2844
1;-2.0646;7.9232;0.0000;-0.0984;-2.9591;4.3415
2;-2.0626;7.7665;0.0000;-0.0901;-3.1249;4.8248
3;-2.0606;7.6094;0.0000;0.1444;-3.2525;5.0955
4;-2.0582;7.4513;0.0000;0.2694;-3.2599;5.0512
5;-2.0559;7.2945;0.0000;0.2275;-3.5449;4.9852
6;-2.0535;7.1376;0.0000;0.3116;-3.4269;4.6516
7;-2.0512;6.9806;0.0000;0.3926;-3.4965;4.8701
8;-2.0496;6.8240;0.0000;0.2911;-2.7129;4.4852
9;-2.0484;6.6644;0.0000;-0.2001;-2.8786;4.6260
10;-2.0465;6.5079;0.0000;-0.6276;-3.7340;4.7490
11;-2.0428;6.3533;0.0000;0.2476;-4.1397;4.9587
12;-2.0407;6.1963;0.0000;0.2183;-3.2886;4.5305
13;-2.0388;6.0392;0.0000;0.0877;-3.3373;4.5581
14;-2.0364;5.8827;0.0000;0.3523;-3.4175;4.5256
15;-2.0343;5.7260;0.0000;0.5715;-3.1446;3.6939
16;-2.0319;5.5684;0.0000;0.4063;-3.1478;3.7254
17;-2.0297;5.4115;0.0000;0.0890;-3.4118;4.4331
18;-2.0276;5.2543;0.0000;0.1421;-3.4477;3.9055
19;-2.0253;5.0980;0.0000;0.5407;-3.5920;4.1742
20;-2.0245;4.9425;0.0000;0.0629;-3.2809;4.2677
21;-2.0205;4.7844;0.0000;0.2003;-3.3677;4.2372
22;-2.0169;4.6253;0.0000;0.6724;-3.1703;4.7559
23;-2.0164;4.4690;0.0000;0.6783;-3.1675;4.6841
24;-2.0149;4.3143;0.0000;0.6332;-3.3820;4.6614
25;-2.0130;4.1576;0.0000;0.4449;-3.2472;4.1644
26;-2.0109;4.0005;0.0000;0.5379;-2.9698;3.8937
27;-2.0090;3.8431;0.0000;0.5200;-3.0719;4.1624
28;-2.0071;3.6861;0.0000;0.3743;-3.3821;3.8996
29;-2.0050;3.5293;0.0000;0.3925;-3.3047;3.4724
30;-2.0025;3.3725;0.0000;0.3589;-3.4016;3.6181
31;-2.0000;3.2156;0.0000;0.3981;-3.3400;4.1270
32;-1.9980;3.0588;0.0000;0.4189;-3.3828;4.5118
33;-1.9957;2.9022;0.0000;0.3697;-3.6100;4.6821
34;-1.9930;2.7458;0.0000;0.5078;-3.5225;4.7726
35;-1.9903;2.5890;0.0000;0.5121;-3.7179;4.3671
36;-1.9880;2.4327;0.0000;0.4700;-3.8162;3.9124
37;-1.9859;2.2753;0.0000;0.5027;-3.7855;4.7717
38;-1.9835;2.1163;0.0000;0.4685;-3.5587;5.2156
39;-1.9809;1.9568;0.0000;0.5446;-3.5027;4.7687
40;-1.9785;1.7971;0.0000;0.4029;-3.4023;4.5728
41;-1.9762;1.6373;0.0000;0.2290;-3.5242;4.7106
42;-1.9735;1.4780;0.0000;0.4410;-3.4745;4.8957
43;-1.9714;1.3172;0.0000;0.5070;-3.5282;4.4783
44;-1.9698;1.1565;0.0000;0.3635;-3.7134;4.6988
45;-1.9672;0.9972;0.0000;0.3765;-3.7631;5.0157
