# Units: length:mm angle:deg time:s strain:% 
# Stage: image-000081
stage;index;relative_time;date
"image-000081";82;81.0000;"2022-09-26T12:07:35.973"
# Name : surface_yz_20/10
id;x;y;z;epsilon_x;epsilon_y;pattern_quality
0;1.3104;4.1136;0.0000;3.5593;-5.6074;3.3504
1;1.3501;4.0419;0.0000;3.9935;-4.3943;3.1358
2;1.3513;3.9511;0.0000;4.0750;-3.9831;4.5108
3;1.3522;3.8601;0.0000;3.9004;-4.0380;5.3799
4;1.3532;3.7696;0.0000;3.8390;-4.0929;5.9409
5;1.3538;3.6788;0.0000;3.5449;-3.9482;5.6713
6;1.3547;3.5879;0.0000;3.7216;-4.0231;5.2224
7;1.3555;3.4973;0.0000;3.7835;-4.0953;5.0148
8;1.3560;3.4066;0.0000;3.6977;-3.9657;5.1654
9;1.3568;3.3157;0.0000;3.7834;-3.9449;4.6427
10;1.3576;3.2249;0.0000;3.5967;-4.0806;4.5827
11;1.3585;3.1343;0.0000;3.6822;-4.0877;4.2165
12;1.3594;3.0436;0.0000;3.5939;-4.0405;4.4783
13;1.3601;2.9530;0.0000;3.5571;-4.1358;4.8740
14;1.3610;2.8623;0.0000;3.7063;-4.0452;5.6870
15;1.3619;2.7716;0.0000;3.7445;-4.0593;5.6594
16;1.3626;2.6808;0.0000;3.7045;-4.0280;5.0945
17;1.3637;2.5901;0.0000;3.9096;-4.1253;4.0118
18;1.3647;2.4995;0.0000;3.8323;-3.9895;4.2854
19;1.3654;2.4087;0.0000;3.7751;-4.0958;5.0965
20;1.3661;2.3180;0.0000;3.8207;-4.0992;5.4045
21;1.3668;2.2275;0.0000;3.7709;-4.3109;5.4715
22;1.3675;2.1370;0.0000;3.8391;-4.4423;4.9065
23;1.3682;2.0466;0.0000;4.0603;-4.3810;4.6732
24;1.3692;1.9562;0.0000;4.2352;-4.3260;4.9331
25;1.3700;1.8657;0.0000;3.8292;-4.0718;5.4075
26;1.3710;1.7751;0.0000;4.0179;-4.1306;5.1821
27;1.3720;1.6845;0.0000;4.1649;-4.1544;4.8740
28;1.3729;1.5939;0.0000;4.3238;-4.3213;4.9902
29;1.3739;1.5036;0.0000;4.4229;-4.3888;3.4852
30;1.3747;1.4129;0.0000;3.9598;-4.0186;3.7421
31;1.3761;1.3224;0.0000;4.5141;-4.3682;2.6033
32;1.3781;1.2322;0.0000;5.1047;-4.6974;1.5778
33;1.3785;1.1418;0.0000;3.5091;-3.9595;2.8465
34;1.3790;1.0508;0.0000;3.5941;-3.9736;4.9734
35;1.3802;0.9603;0.0000;3.7483;-4.3593;5.9085
36;1.3813;0.8698;0.0000;3.8693;-4.2140;5.9478
37;1.3821;0.7792;0.0000;3.7442;-4.1462;6.3927
38;1.3828;0.6888;0.0000;3.5150;-4.3333;5.1319
39;1.3835;0.5984;0.0000;3.3244;-4.2269;5.1969
40;1.3851;0.5078;0.0000;3.8411;-4.2205;5.2559
41;1.3864;0.4171;0.0000;4.0201;-4.0888;5.4478
42;1.3873;0.3265;0.0000;3.8054;-4.1022;6.0728
43;1.3882;0.2360;0.0000;3.7445;-4.2471;5.3917
44;1.3897;0.1454;0.0000;4.1018;-4.3866;3.7047
45;1.3905;0.0552;0.0000;3.7482;-4.0804;3.4419
46;1.3912;-0.0359;0.0000;3.5144;-3.7492;5.6722
47;1.3923;-0.1269;0.0000;3.5901;-3.7959;6.1437
48;1.3934;-0.2179;0.0000;3.6261;-3.9768;5.6053
49;1.3944;-0.3086;0.0000;3.6999;-4.0462;5.0482
50;1.3952;-0.3992;0.0000;3.3368;-4.0749;5.5079
51;1.3965;-0.4900;0.0000;3.7359;-3.7997;5.7431
52;1.3977;-0.5811;0.0000;4.2322;-3.5557;5.4675
53;1.3984;-0.6724;0.0000;4.1617;-3.7669;4.1929
54;1.3996;-0.7627;0.0000;4.6956;-4.7032;2.3878
55;1.4005;-0.8527;0.0000;3.6555;-4.4759;3.2254
56;1.4014;-0.9434;0.0000;3.9001;-4.1324;4.5896
57;1.4024;-1.0341;0.0000;4.0696;-4.0832;6.1644
58;1.4034;-1.1248;0.0000;3.9846;-4.1875;5.7677
59;1.4043;-1.2155;0.0000;3.6789;-4.0671;4.7648
60;1.4051;-1.3062;0.0000;3.4562;-4.2952;3.5974
